% Moku:Go Oscilloscope
% Channel A (Input 1, on), DC, 30 MHz, 1 MOhm, 10 Vpp, 1 x probe attenuation
% Channel B (Input 2, off), DC, 30 MHz, 1 MOhm, 10 Vpp, 1 x probe attenuation
% Time span 17.36 ms, time offset -7.035 ms, Normal acquisition mode, no averaging
% Edge trigger: Channel A, level 0.000 V, Auto mode, Rising edge, Auto sensitivity, noise reject off, HF reject off
% Output 1 (on) - Sine, 500.000 000 Hz, 1.000 0 Vpp, offset 0.000 0 V, phase 0.000 000 deg
% Output 2 (off) - Square, 50.000 000 000 kHz, 500.0 mVpp, offset 0.000 0 V, phase 0.000 000 deg, duty cycle 50.00 %
% 
% Acquired 2026-04-30 T 13:01:03 +0200
% Time (s), Channel A (Input 1) (V)
-1.637718260870e-03, 4.555447e-01
-1.620438260870e-03, 4.640938e-01
-1.603158260870e-03, 4.726429e-01
-1.585878260870e-03, 4.787494e-01
-1.568598260870e-03, 4.872985e-01
-1.551318260870e-03, 4.921837e-01
-1.534038260870e-03, 4.946263e-01
-1.516758260870e-03, 4.946263e-01
-1.499478260870e-03, 4.946263e-01
-1.482198260870e-03, 4.946263e-01
-1.464918260870e-03, 4.934050e-01
-1.447638260870e-03, 4.872985e-01
-1.430358260870e-03, 4.811920e-01
-1.413078260870e-03, 4.763068e-01
-1.395798260870e-03, 4.665364e-01
-1.378518260870e-03, 4.579873e-01
-1.361238260870e-03, 4.457743e-01
-1.343958260870e-03, 4.347826e-01
-1.326678260870e-03, 4.189057e-01
-1.309398260870e-03, 4.054714e-01
-1.292118260870e-03, 3.883732e-01
-1.274838260870e-03, 3.724964e-01
-1.257558260870e-03, 3.517343e-01
-1.240278260870e-03, 3.334148e-01
-1.222998260870e-03, 3.126527e-01
-1.205718260870e-03, 2.894480e-01
-1.188438260870e-03, 2.686859e-01
-1.171158260870e-03, 2.454812e-01
-1.153878260870e-03, 2.210552e-01
-1.136598260870e-03, 1.966292e-01
-1.119318260870e-03, 1.722032e-01
-1.102038260870e-03, 1.465559e-01
-1.084758260870e-03, 1.196874e-01
-1.067478260870e-03, 9.404006e-02
-1.050198260870e-03, 6.839277e-02
-1.032918260870e-03, 3.908158e-02
-1.015638260870e-03, 1.343429e-02
-9.983582608696e-04, -1.587689e-02
-9.810782608696e-04, -4.274548e-02
-9.637982608696e-04, -7.083537e-02
-9.465182608696e-04, -9.648266e-02
-9.292382608696e-04, -1.233513e-01
-9.119582608696e-04, -1.465559e-01
-8.946782608696e-04, -1.722032e-01
-8.773982608696e-04, -1.990718e-01
-8.601182608696e-04, -2.247191e-01
-8.428382608696e-04, -2.491451e-01
-8.255582608696e-04, -2.711285e-01
-8.082782608696e-04, -2.943332e-01
-7.909982608696e-04, -3.163166e-01
-7.737182608696e-04, -3.358574e-01
-7.564382608696e-04, -3.566195e-01
-7.391582608696e-04, -3.761603e-01
-7.218782608696e-04, -3.920371e-01
-7.045982608696e-04, -4.103566e-01
-6.873182608696e-04, -4.250122e-01
-6.700382608696e-04, -4.396678e-01
-6.527582608696e-04, -4.531021e-01
-6.354782608696e-04, -4.628725e-01
-6.181982608696e-04, -4.738642e-01
-6.009182608696e-04, -4.811920e-01
-5.836382608696e-04, -4.897411e-01
-5.663582608696e-04, -4.958476e-01
-5.490782608696e-04, -4.995115e-01
-5.317982608696e-04, -5.031754e-01
-5.145182608696e-04, -5.043967e-01
-4.972382608696e-04, -5.056180e-01
-4.799582608696e-04, -5.031754e-01
-4.626782608696e-04, -5.007328e-01
-4.453982608696e-04, -4.958476e-01
-4.281182608696e-04, -4.897411e-01
-4.108382608696e-04, -4.836346e-01
-3.935582608696e-04, -4.738642e-01
-3.762782608696e-04, -4.640938e-01
-3.589982608696e-04, -4.531021e-01
-3.417182608696e-04, -4.384465e-01
-3.244382608696e-04, -4.262335e-01
-3.071582608696e-04, -4.127992e-01
-2.898782608696e-04, -3.932584e-01
-2.725982608696e-04, -3.786029e-01
-2.553182608696e-04, -3.578408e-01
-2.380382608696e-04, -3.383000e-01
-2.207582608696e-04, -3.187592e-01
-2.034782608696e-04, -2.955545e-01
-1.861982608696e-04, -2.735711e-01
-1.689182608696e-04, -2.491451e-01
-1.516382608696e-04, -2.259404e-01
-1.343582608696e-04, -2.027357e-01
-1.170782608696e-04, -1.770884e-01
-9.979826086957e-05, -1.502198e-01
-8.251826086957e-05, -1.245726e-01
-6.523826086957e-05, -9.892526e-02
-4.795826086957e-05, -7.083537e-02
-3.067826086957e-05, -4.396678e-02
-1.339826086957e-05, -1.709819e-02
3.881739130435e-06, 1.099170e-02
2.116173913043e-05, 3.663899e-02
3.844173913043e-05, 6.350758e-02
5.572173913043e-05, 9.037616e-02
7.300173913043e-05, 1.172448e-01
9.028173913043e-05, 1.465559e-01
1.075617391304e-04, 1.697606e-01
1.248417391304e-04, 1.954079e-01
1.421217391304e-04, 2.198339e-01
1.594017391304e-04, 2.442599e-01
1.766817391304e-04, 2.662433e-01
1.939617391304e-04, 2.894480e-01
2.112417391304e-04, 3.126527e-01
2.285217391304e-04, 3.321935e-01
2.458017391304e-04, 3.517343e-01
2.630817391304e-04, 3.712751e-01
2.803617391304e-04, 3.883732e-01
2.976417391304e-04, 4.042501e-01
3.149217391304e-04, 4.189057e-01
3.322017391304e-04, 4.335613e-01
3.494817391304e-04, 4.457743e-01
3.667617391304e-04, 4.579873e-01
3.840417391304e-04, 4.665364e-01
4.013217391304e-04, 4.738642e-01
4.186017391304e-04, 4.811920e-01
4.358817391304e-04, 4.885198e-01
4.531617391304e-04, 4.934050e-01
4.704417391304e-04, 4.958476e-01
4.877217391304e-04, 4.946263e-01
5.050017391304e-04, 4.958476e-01
5.222817391304e-04, 4.970689e-01
5.395617391304e-04, 4.934050e-01
5.568417391304e-04, 4.885198e-01
5.741217391304e-04, 4.836346e-01
5.914017391304e-04, 4.775281e-01
6.086817391304e-04, 4.677577e-01
6.259617391304e-04, 4.555447e-01
6.432417391304e-04, 4.445530e-01
6.605217391304e-04, 4.323400e-01
6.778017391304e-04, 4.164631e-01
6.950817391304e-04, 4.030288e-01
7.123617391304e-04, 3.871519e-01
7.296417391304e-04, 3.676112e-01
7.469217391304e-04, 3.468491e-01
7.642017391304e-04, 3.285296e-01
7.814817391304e-04, 3.089888e-01
7.987617391304e-04, 2.845628e-01
8.160417391304e-04, 2.638007e-01
8.333217391304e-04, 2.430386e-01
8.506017391304e-04, 2.161700e-01
8.678817391304e-04, 1.905227e-01
8.851617391304e-04, 1.648754e-01
9.024417391304e-04, 1.392281e-01
9.197217391304e-04, 1.148022e-01
9.370017391304e-04, 8.671227e-02
9.542817391304e-04, 6.106498e-02
9.715617391304e-04, 3.297509e-02
9.888417391304e-04, 6.106498e-03
1.006121739130e-03, -2.198339e-02
1.023401739130e-03, -5.007328e-02
1.040681739130e-03, -7.572057e-02
1.057961739130e-03, -1.025892e-01
1.075241739130e-03, -1.294577e-01
1.092521739130e-03, -1.514411e-01
1.109801739130e-03, -1.783097e-01
1.127081739130e-03, -2.051783e-01
1.144361739130e-03, -2.283830e-01
1.161641739130e-03, -2.503664e-01
1.178921739130e-03, -2.760137e-01
1.196201739130e-03, -2.979971e-01
1.213481739130e-03, -3.199805e-01
1.230761739130e-03, -3.407426e-01
1.248041739130e-03, -3.602834e-01
1.265321739130e-03, -3.798242e-01
1.282601739130e-03, -3.957010e-01
1.299881739130e-03, -4.103566e-01
1.317161739130e-03, -4.274548e-01
1.334441739130e-03, -4.408891e-01
1.351721739130e-03, -4.543234e-01
1.369001739130e-03, -4.665364e-01
1.386281739130e-03, -4.763068e-01
1.403561739130e-03, -4.824133e-01
1.420841739130e-03, -4.921837e-01
1.438121739130e-03, -4.958476e-01
1.455401739130e-03, -5.007328e-01
1.472681739130e-03, -5.031754e-01
1.489961739130e-03, -5.043967e-01
1.507241739130e-03, -5.043967e-01
1.524521739130e-03, -5.031754e-01
1.541801739130e-03, -4.995115e-01
1.559081739130e-03, -4.946263e-01
1.576361739130e-03, -4.885198e-01
1.593641739130e-03, -4.811920e-01
1.610921739130e-03, -4.714216e-01
1.628201739130e-03, -4.616512e-01
1.645481739130e-03, -4.457743e-01
1.662761739130e-03, -4.335613e-01
1.680041739130e-03, -4.201270e-01
1.697321739130e-03, -4.042501e-01
1.714601739130e-03, -3.883732e-01
1.731881739130e-03, -3.712751e-01
1.749161739130e-03, -3.505130e-01
1.766441739130e-03, -3.321935e-01
1.783721739130e-03, -3.102101e-01
1.801001739130e-03, -2.870054e-01
1.818281739130e-03, -2.650220e-01
1.835561739130e-03, -2.405960e-01
1.852841739130e-03, -2.186126e-01
1.870121739130e-03, -1.941866e-01
1.887401739130e-03, -1.673180e-01
1.904681739130e-03, -1.441133e-01
1.921961739130e-03, -1.148022e-01
1.939241739130e-03, -8.793357e-02
1.956521739130e-03, -6.228628e-02
1.973801739130e-03, -3.663899e-02
1.991081739130e-03, -8.549097e-03
2.008361739130e-03, 1.709819e-02
2.025641739130e-03, 4.518808e-02
2.042921739130e-03, 7.205667e-02
2.060201739130e-03, 1.001466e-01
2.077481739130e-03, 1.257939e-01
2.094761739130e-03, 1.514411e-01
2.112041739130e-03, 1.783097e-01
2.129321739130e-03, 2.027357e-01
2.146601739130e-03, 2.283830e-01
2.163881739130e-03, 2.528090e-01
2.181161739130e-03, 2.747924e-01
2.198441739130e-03, 2.967758e-01
2.215721739130e-03, 3.163166e-01
2.233001739130e-03, 3.383000e-01
2.250281739130e-03, 3.590621e-01
2.267561739130e-03, 3.761603e-01
2.284841739130e-03, 3.932584e-01
2.302121739130e-03, 4.127992e-01
2.319401739130e-03, 4.237909e-01
