% Moku:Go Oscilloscope
% Channel A (Input 1, on), DC, 30 MHz, 1 MOhm, 10 Vpp, 1 x probe attenuation
% Channel B (Input 2, off), DC, 30 MHz, 1 MOhm, 10 Vpp, 1 x probe attenuation
% Time span 17.36 ms, time offset -7.035 ms, Normal acquisition mode, no averaging
% Edge trigger: Channel A, level 0.000 V, Auto mode, Rising edge, Auto sensitivity, noise reject off, HF reject off
% Output 1 (on) - Noise, 500.000 000 Hz, 1.000 0 Vpp, offset 0.000 0 V, shape Gaussian
% Output 2 (off) - Square, 50.000 000 000 kHz, 500.0 mVpp, offset 0.000 0 V, phase 0.000 000 deg, duty cycle 50.00 %
% 
% Acquired 2026-04-30 T 13:24:39 +0200
% Time (s), Channel A (Input 1) (V)
-1.627200000000e-03, -4.885198e-03
-1.609920000000e-03, -9.770396e-03
-1.592640000000e-03, -1.343429e-02
-1.575360000000e-03, 2.931119e-02
-1.558080000000e-03, -1.831949e-02
-1.540800000000e-03, 4.030288e-02
-1.523520000000e-03, 4.885198e-03
-1.506240000000e-03, 6.106498e-03
-1.488960000000e-03, 2.564729e-02
-1.471680000000e-03, -2.442599e-02
-1.454400000000e-03, 2.320469e-02
-1.437120000000e-03, -3.663899e-03
-1.419840000000e-03, -9.770396e-03
-1.402560000000e-03, -1.465559e-02
-1.385280000000e-03, -8.549097e-03
-1.368000000000e-03, 1.954079e-02
-1.350720000000e-03, -1.343429e-02
-1.333440000000e-03, 7.327797e-03
-1.316160000000e-03, 1.465559e-02
-1.298880000000e-03, 1.099170e-02
-1.281600000000e-03, 1.221300e-02
-1.264320000000e-03, -2.198339e-02
-1.247040000000e-03, 1.709819e-02
-1.229760000000e-03, 4.396678e-02
-1.212480000000e-03, 1.465559e-02
-1.195200000000e-03, 0.000000e+00
-1.177920000000e-03, 1.587689e-02
-1.160640000000e-03, -6.106498e-03
-1.143360000000e-03, -2.442599e-02
-1.126080000000e-03, 2.442599e-03
-1.108800000000e-03, 3.908158e-02
-1.091520000000e-03, 1.099170e-02
-1.074240000000e-03, 2.076209e-02
-1.056960000000e-03, -1.709819e-02
-1.039680000000e-03, -3.053249e-02
-1.022400000000e-03, 2.442599e-03
-1.005120000000e-03, 6.106498e-03
-9.878400000000e-04, 3.175379e-02
-9.705600000000e-04, 1.709819e-02
-9.532800000000e-04, -1.221300e-03
-9.360000000000e-04, -4.885198e-03
-9.187200000000e-04, 8.549097e-03
-9.014400000000e-04, -4.885198e-03
-8.841600000000e-04, 4.152418e-02
-8.668800000000e-04, -2.076209e-02
-8.496000000000e-04, 1.954079e-02
-8.323200000000e-04, -1.954079e-02
-8.150400000000e-04, 4.885198e-03
-7.977600000000e-04, -4.885198e-03
-7.804800000000e-04, 3.663899e-02
-7.632000000000e-04, 2.198339e-02
-7.459200000000e-04, 1.831949e-02
-7.286400000000e-04, 2.076209e-02
-7.113600000000e-04, 3.297509e-02
-6.940800000000e-04, -3.053249e-02
-6.768000000000e-04, -1.954079e-02
-6.595200000000e-04, 1.831949e-02
-6.422400000000e-04, 6.106498e-03
-6.249600000000e-04, 2.808989e-02
-6.076800000000e-04, 3.786029e-02
-5.904000000000e-04, 3.053249e-02
-5.731200000000e-04, 3.908158e-02
-5.558400000000e-04, -8.549097e-03
-5.385600000000e-04, 1.465559e-02
-5.212800000000e-04, 4.274548e-02
-5.040000000000e-04, 4.885198e-02
-4.867200000000e-04, 3.786029e-02
-4.694400000000e-04, -3.297509e-02
-4.521600000000e-04, 4.885198e-03
-4.348800000000e-04, -2.686859e-02
-4.176000000000e-04, -1.221300e-02
-4.003200000000e-04, -4.152418e-02
-3.830400000000e-04, 1.954079e-02
-3.657600000000e-04, 5.007328e-02
-3.484800000000e-04, 1.831949e-02
-3.312000000000e-04, 3.419639e-02
-3.139200000000e-04, -1.221300e-03
-2.966400000000e-04, 1.221300e-02
-2.793600000000e-04, 2.442599e-03
-2.620800000000e-04, 0.000000e+00
-2.448000000000e-04, 1.221300e-03
-2.275200000000e-04, 1.221300e-03
-2.102400000000e-04, -1.465559e-02
-1.929600000000e-04, 5.862238e-02
-1.756800000000e-04, 2.808989e-02
-1.584000000000e-04, 2.686859e-02
-1.411200000000e-04, 2.931119e-02
-1.238400000000e-04, -2.686859e-02
-1.065600000000e-04, 0.000000e+00
-8.928000000000e-05, -1.221300e-02
-7.200000000000e-05, 3.175379e-02
-5.472000000000e-05, -1.831949e-02
-3.744000000000e-05, 0.000000e+00
-2.016000000000e-05, -5.007328e-02
-2.880000000000e-06, 1.709819e-02
1.440000000000e-05, 1.954079e-02
3.168000000000e-05, 1.587689e-02
4.896000000000e-05, -2.198339e-02
6.624000000000e-05, 4.274548e-02
8.352000000000e-05, 1.221300e-02
1.008000000000e-04, -7.327797e-03
1.180800000000e-04, 4.885198e-03
1.353600000000e-04, 1.099170e-02
1.526400000000e-04, 1.465559e-02
1.699200000000e-04, -7.327797e-03
1.872000000000e-04, -3.663899e-02
2.044800000000e-04, -1.831949e-02
2.217600000000e-04, 6.106498e-03
2.390400000000e-04, 2.076209e-02
2.563200000000e-04, -1.954079e-02
2.736000000000e-04, 2.686859e-02
2.908800000000e-04, -1.099170e-02
3.081600000000e-04, -2.442599e-03
3.254400000000e-04, 2.076209e-02
3.427200000000e-04, -7.327797e-03
3.600000000000e-04, 4.030288e-02
3.772800000000e-04, -1.221300e-02
3.945600000000e-04, 3.663899e-03
4.118400000000e-04, -1.465559e-02
4.291200000000e-04, -1.465559e-02
4.464000000000e-04, 1.954079e-02
4.636800000000e-04, 1.587689e-02
4.809600000000e-04, 1.221300e-02
4.982400000000e-04, -7.327797e-03
5.155200000000e-04, -8.549097e-03
5.328000000000e-04, -1.587689e-02
5.500800000000e-04, -1.221300e-03
5.673600000000e-04, -6.106498e-03
5.846400000000e-04, -3.663899e-03
6.019200000000e-04, 2.198339e-02
6.192000000000e-04, -2.564729e-02
6.364800000000e-04, 3.786029e-02
6.537600000000e-04, 0.000000e+00
6.710400000000e-04, -1.954079e-02
6.883200000000e-04, -1.831949e-02
7.056000000000e-04, 4.152418e-02
7.228800000000e-04, 1.465559e-02
7.401600000000e-04, 5.007328e-02
7.574400000000e-04, 4.274548e-02
7.747200000000e-04, 1.465559e-02
7.920000000000e-04, -2.686859e-02
8.092800000000e-04, 4.152418e-02
8.265600000000e-04, -1.099170e-02
8.438400000000e-04, 1.221300e-03
8.611200000000e-04, -2.320469e-02
8.784000000000e-04, -4.885198e-03
8.956800000000e-04, -1.099170e-02
9.129600000000e-04, -3.541769e-02
9.302400000000e-04, 5.007328e-02
9.475200000000e-04, 1.343429e-02
9.648000000000e-04, 1.221300e-02
9.820800000000e-04, 1.465559e-02
9.993600000000e-04, -1.343429e-02
1.016640000000e-03, 7.327797e-03
1.033920000000e-03, -9.770396e-03
1.051200000000e-03, -9.770396e-03
1.068480000000e-03, -4.885198e-03
1.085760000000e-03, 1.587689e-02
1.103040000000e-03, 1.709819e-02
1.120320000000e-03, -2.076209e-02
1.137600000000e-03, 8.549097e-03
1.154880000000e-03, -2.198339e-02
1.172160000000e-03, 1.954079e-02
1.189440000000e-03, -3.663899e-03
1.206720000000e-03, 4.885198e-03
1.224000000000e-03, 3.541769e-02
1.241280000000e-03, 1.221300e-02
1.258560000000e-03, -1.831949e-02
1.275840000000e-03, 8.549097e-03
1.293120000000e-03, -2.442599e-02
1.310400000000e-03, -1.831949e-02
1.327680000000e-03, -5.740108e-02
1.344960000000e-03, -3.786029e-02
1.362240000000e-03, 8.549097e-03
1.379520000000e-03, 4.030288e-02
1.396800000000e-03, 8.549097e-03
1.414080000000e-03, 2.198339e-02
1.431360000000e-03, 3.175379e-02
1.448640000000e-03, 2.442599e-02
1.465920000000e-03, 1.587689e-02
1.483200000000e-03, -1.343429e-02
1.500480000000e-03, -4.885198e-03
1.517760000000e-03, -1.221300e-03
1.535040000000e-03, -7.327797e-03
1.552320000000e-03, -2.076209e-02
1.569600000000e-03, -2.198339e-02
1.586880000000e-03, -1.954079e-02
1.604160000000e-03, -1.221300e-03
1.621440000000e-03, 2.442599e-03
1.638720000000e-03, 1.221300e-02
1.656000000000e-03, -8.549097e-03
1.673280000000e-03, -2.442599e-02
1.690560000000e-03, -2.808989e-02
1.707840000000e-03, -1.343429e-02
1.725120000000e-03, 1.465559e-02
1.742400000000e-03, 2.808989e-02
1.759680000000e-03, 3.663899e-03
1.776960000000e-03, -6.106498e-03
1.794240000000e-03, 8.549097e-03
1.811520000000e-03, 3.663899e-03
1.828800000000e-03, 1.343429e-02
1.846080000000e-03, -1.831949e-02
1.863360000000e-03, -1.954079e-02
1.880640000000e-03, -2.076209e-02
1.897920000000e-03, 1.221300e-02
1.915200000000e-03, 1.343429e-02
1.932480000000e-03, -9.770396e-03
1.949760000000e-03, -2.076209e-02
1.967040000000e-03, -1.099170e-02
1.984320000000e-03, -2.320469e-02
2.001600000000e-03, 7.327797e-03
2.018880000000e-03, -3.663899e-03
2.036160000000e-03, 4.885198e-03
2.053440000000e-03, 2.076209e-02
2.070720000000e-03, -6.106498e-03
2.088000000000e-03, -4.885198e-03
2.105280000000e-03, 2.442599e-02
2.122560000000e-03, 9.770396e-03
2.139840000000e-03, 2.076209e-02
2.157120000000e-03, 1.831949e-02
2.174400000000e-03, 1.587689e-02
2.191680000000e-03, 3.663899e-02
2.208960000000e-03, 1.343429e-02
2.226240000000e-03, -2.808989e-02
2.243520000000e-03, 0.000000e+00
2.260800000000e-03, 2.198339e-02
2.278080000000e-03, 2.686859e-02
2.295360000000e-03, 0.000000e+00
2.312640000000e-03, -8.549097e-03
2.329920000000e-03, -2.442599e-03
2.347200000000e-03, 1.709819e-02
2.364480000000e-03, 2.198339e-02
2.381760000000e-03, 3.786029e-02
2.399040000000e-03, -2.931119e-02
2.416320000000e-03, 5.251588e-02
2.433600000000e-03, -1.221300e-03
2.450880000000e-03, 1.587689e-02
2.468160000000e-03, 3.053249e-02
2.485440000000e-03, -1.587689e-02
2.502720000000e-03, -8.549097e-03
2.520000000000e-03, 3.053249e-02
2.537280000000e-03, -3.663899e-03
2.554560000000e-03, -2.931119e-02
2.571840000000e-03, 1.221300e-02
2.589120000000e-03, 3.175379e-02
2.606400000000e-03, 7.327797e-03
2.623680000000e-03, 9.770396e-03
2.640960000000e-03, -1.343429e-02
2.658240000000e-03, -1.954079e-02
2.675520000000e-03, 2.076209e-02
2.692800000000e-03, 3.419639e-02
2.710080000000e-03, -3.663899e-03
2.727360000000e-03, 7.327797e-03
2.744640000000e-03, 0.000000e+00
2.761920000000e-03, 1.587689e-02
2.779200000000e-03, -8.549097e-03
2.796480000000e-03, -1.954079e-02
2.813760000000e-03, -3.541769e-02
2.831040000000e-03, 2.808989e-02
2.848320000000e-03, -3.663899e-03
2.865600000000e-03, 1.465559e-02
2.882880000000e-03, 2.320469e-02
2.900160000000e-03, 1.099170e-02
2.917440000000e-03, -4.030288e-02
2.934720000000e-03, 1.587689e-02
2.952000000000e-03, 2.076209e-02
2.969280000000e-03, -6.106498e-03
2.986560000000e-03, 1.954079e-02
3.003840000000e-03, 2.808989e-02
3.021120000000e-03, 3.419639e-02
3.038400000000e-03, 1.954079e-02
3.055680000000e-03, 3.908158e-02
3.072960000000e-03, -1.221300e-02
3.090240000000e-03, 2.564729e-02
3.107520000000e-03, -4.030288e-02
3.124800000000e-03, -2.320469e-02
3.142080000000e-03, -1.221300e-02
3.159360000000e-03, -9.770396e-03
3.176640000000e-03, -1.831949e-02
3.193920000000e-03, 3.297509e-02
3.211200000000e-03, 1.954079e-02
3.228480000000e-03, 1.465559e-02
3.245760000000e-03, -2.442599e-03
3.263040000000e-03, 3.419639e-02
3.280320000000e-03, 2.198339e-02
3.297600000000e-03, -6.106498e-03
3.314880000000e-03, -1.343429e-02
3.332160000000e-03, -4.885198e-03
3.349440000000e-03, 6.106498e-03
3.366720000000e-03, 4.885198e-02
3.384000000000e-03, 2.076209e-02
3.401280000000e-03, -6.106498e-03
3.418560000000e-03, -9.770396e-03
3.435840000000e-03, 6.717147e-02
3.453120000000e-03, 3.663899e-03
3.470400000000e-03, 1.587689e-02
3.487680000000e-03, 1.343429e-02
3.504960000000e-03, -7.327797e-03
3.522240000000e-03, -2.564729e-02
3.539520000000e-03, 2.442599e-02
