% Moku:Go Oscilloscope
% Channel A (on)
% Channel B (off)
% Time span 1.000 ms, time offset 0.000 s, Normal acquisition mode, no averaging
% Edge trigger: Channel A, level 0.000 V, Auto mode, Rising edge, Auto sensitivity, noise reject off, HF reject off
% Output A (off) - Sine, 10.000 000 000 000 MHz, 1.000 0 Vpp, offset 0.000 0 V, phase 0.000 000 deg
% Output B (off) - Square, 50.000 000 000 kHz, 500.0 mVpp, offset 0.000 0 V, phase 0.000 000 deg, duty cycle 50.00 %
% 
% Acquired 2026-04-30 T 15:35:36 +0200
% Time (s), Channel A (Input A) (V)
-4.990080000000e-04, 2.076209e-02
-4.979520000000e-04, 2.076209e-02
-4.968960000000e-04, 2.076209e-02
-4.958400000000e-04, 2.076209e-02
-4.947840000000e-04, 2.076209e-02
-4.937280000000e-04, 2.076209e-02
-4.926720000000e-04, 2.076209e-02
-4.916160000000e-04, 2.076209e-02
-4.905600000000e-04, 2.076209e-02
-4.895040000000e-04, 2.076209e-02
-4.884480000000e-04, 2.076209e-02
-4.873920000000e-04, 2.076209e-02
-4.863360000000e-04, 2.076209e-02
-4.852800000000e-04, 2.198339e-02
-4.842240000000e-04, 2.076209e-02
-4.831680000000e-04, 2.076209e-02
-4.821120000000e-04, 2.076209e-02
-4.810560000000e-04, 2.076209e-02
-4.800000000000e-04, 2.076209e-02
-4.789440000000e-04, 2.076209e-02
-4.778880000000e-04, 2.076209e-02
-4.768320000000e-04, 2.076209e-02
-4.757760000000e-04, 2.198339e-02
-4.747200000000e-04, 2.076209e-02
-4.736640000000e-04, 2.076209e-02
-4.726080000000e-04, 2.076209e-02
-4.715520000000e-04, 2.198339e-02
-4.704960000000e-04, 2.198339e-02
-4.694400000000e-04, 2.198339e-02
-4.683840000000e-04, 2.198339e-02
-4.673280000000e-04, 2.198339e-02
-4.662720000000e-04, 2.076209e-02
-4.652160000000e-04, 2.076209e-02
-4.641600000000e-04, 2.198339e-02
-4.631040000000e-04, 2.076209e-02
-4.620480000000e-04, 2.320469e-02
-4.609920000000e-04, 2.076209e-02
-4.599360000000e-04, 2.320469e-02
-4.588800000000e-04, 2.320469e-02
-4.578240000000e-04, 2.198339e-02
-4.567680000000e-04, 2.076209e-02
-4.557120000000e-04, 2.076209e-02
-4.546560000000e-04, 2.198339e-02
-4.536000000000e-04, 2.076209e-02
-4.525440000000e-04, 2.076209e-02
-4.514880000000e-04, 2.076209e-02
-4.504320000000e-04, 2.076209e-02
-4.493760000000e-04, 2.076209e-02
-4.483200000000e-04, 2.076209e-02
-4.472640000000e-04, 2.076209e-02
-4.462080000000e-04, 2.076209e-02
-4.451520000000e-04, 2.076209e-02
-4.440960000000e-04, 2.076209e-02
-4.430400000000e-04, 2.076209e-02
-4.419840000000e-04, 2.076209e-02
-4.409280000000e-04, 2.198339e-02
-4.398720000000e-04, 2.198339e-02
-4.388160000000e-04, 2.076209e-02
-4.377600000000e-04, 2.198339e-02
-4.367040000000e-04, 2.076209e-02
-4.356480000000e-04, 2.076209e-02
-4.345920000000e-04, 2.076209e-02
-4.335360000000e-04, 2.076209e-02
-4.324800000000e-04, 2.076209e-02
-4.314240000000e-04, 2.076209e-02
-4.303680000000e-04, 2.076209e-02
-4.293120000000e-04, 2.076209e-02
-4.282560000000e-04, 2.076209e-02
-4.272000000000e-04, 2.076209e-02
-4.261440000000e-04, 2.076209e-02
-4.250880000000e-04, 2.076209e-02
-4.240320000000e-04, 2.076209e-02
-4.229760000000e-04, 2.198339e-02
-4.219200000000e-04, 2.076209e-02
-4.208640000000e-04, 2.076209e-02
-4.198080000000e-04, 2.076209e-02
-4.187520000000e-04, 2.198339e-02
-4.176960000000e-04, 2.076209e-02
-4.166400000000e-04, 2.076209e-02
-4.155840000000e-04, 2.076209e-02
-4.145280000000e-04, 2.076209e-02
-4.134720000000e-04, 2.076209e-02
-4.124160000000e-04, 2.198339e-02
-4.113600000000e-04, 2.198339e-02
-4.103040000000e-04, 2.076209e-02
-4.092480000000e-04, 2.076209e-02
-4.081920000000e-04, 2.076209e-02
-4.071360000000e-04, 2.198339e-02
