% Moku:Go Oscilloscope
% Channel A (Input 1, on), DC, 30 MHz, 1 MOhm, 10 Vpp, 1 x probe attenuation
% Channel B (Input 2, off), DC, 30 MHz, 1 MOhm, 10 Vpp, 1 x probe attenuation
% Time span 4.854 ms, time offset -7.124 ms, Normal acquisition mode, no averaging
% Edge trigger: Channel A, level 0.000 V, Auto mode, Rising edge, Auto sensitivity, noise reject off, HF reject off
% Output 1 (on) - Square, 276.000 000 Hz, 1.000 0 Vpp, offset 0.000 0 V, phase 0.000 000 deg, duty cycle 50.00 %
% Output 2 (off) - Square, 50.000 000 000 kHz, 500.0 mVpp, offset 0.000 0 V, phase 0.000 000 deg, duty cycle 50.00 %
% 
% Acquired 2026-04-30 T 15:50:18 +0200
% Time (s), Channel A (Input 1) (V)
4.696224000000e-03, -2.638007e-01
4.701216000000e-03, -2.564729e-01
4.706208000000e-03, -2.454812e-01
4.711200000000e-03, -2.381534e-01
4.716192000000e-03, -2.271617e-01
4.721184000000e-03, -2.173913e-01
4.726176000000e-03, -2.076209e-01
4.731168000000e-03, -1.990718e-01
4.736160000000e-03, -1.893014e-01
4.741152000000e-03, -1.807523e-01
4.746144000000e-03, -1.709819e-01
4.751136000000e-03, -1.599902e-01
4.756128000000e-03, -1.489985e-01
4.761120000000e-03, -1.392281e-01
4.766112000000e-03, -1.282364e-01
4.771104000000e-03, -1.184661e-01
4.776096000000e-03, -1.062531e-01
4.781088000000e-03, -9.404006e-02
4.786080000000e-03, -8.304837e-02
4.791072000000e-03, -7.083537e-02
4.796064000000e-03, -6.106498e-02
4.801056000000e-03, -4.885198e-02
4.806048000000e-03, -3.908158e-02
4.811040000000e-03, -2.686859e-02
4.816032000000e-03, -1.587689e-02
4.821024000000e-03, -2.442599e-03
4.826016000000e-03, 7.327797e-03
4.831008000000e-03, 1.954079e-02
4.836000000000e-03, 3.053249e-02
4.840992000000e-03, 4.274548e-02
4.845984000000e-03, 5.251588e-02
4.850976000000e-03, 6.472887e-02
4.855968000000e-03, 7.449927e-02
4.860960000000e-03, 8.671227e-02
4.865952000000e-03, 1.001466e-01
4.870944000000e-03, 1.111383e-01
4.875936000000e-03, 1.233513e-01
4.880928000000e-03, 1.343429e-01
4.885920000000e-03, 1.453346e-01
4.890912000000e-03, 1.563263e-01
4.895904000000e-03, 1.660967e-01
4.900896000000e-03, 1.783097e-01
4.905888000000e-03, 1.893014e-01
4.910880000000e-03, 2.002931e-01
4.915872000000e-03, 2.088422e-01
4.920864000000e-03, 2.186126e-01
4.925856000000e-03, 2.296043e-01
4.930848000000e-03, 2.393747e-01
4.935840000000e-03, 2.479238e-01
4.940832000000e-03, 2.589155e-01
4.945824000000e-03, 2.686859e-01
4.950816000000e-03, 2.784563e-01
4.955808000000e-03, 2.857841e-01
4.960800000000e-03, 2.967758e-01
4.965792000000e-03, 3.053249e-01
4.970784000000e-03, 3.138740e-01
4.975776000000e-03, 3.224231e-01
4.980768000000e-03, 3.321935e-01
4.985760000000e-03, 3.395213e-01
4.990752000000e-03, 3.492917e-01
4.995744000000e-03, 3.566195e-01
5.000736000000e-03, 3.663899e-01
5.005728000000e-03, 3.737177e-01
5.010720000000e-03, 3.822667e-01
5.015712000000e-03, 3.883732e-01
5.020704000000e-03, 3.944797e-01
5.025696000000e-03, 4.005862e-01
5.030688000000e-03, 4.079140e-01
5.035680000000e-03, 4.127992e-01
5.040672000000e-03, 4.189057e-01
5.045664000000e-03, 4.237909e-01
5.050656000000e-03, 4.286761e-01
5.055648000000e-03, 4.323400e-01
5.060640000000e-03, 4.372252e-01
5.065632000000e-03, 4.433317e-01
5.070624000000e-03, 4.469956e-01
5.075616000000e-03, 4.518808e-01
5.080608000000e-03, 4.555447e-01
5.085600000000e-03, 4.579873e-01
5.090592000000e-03, 4.604299e-01
5.095584000000e-03, 4.640938e-01
5.100576000000e-03, 4.628725e-01
5.105568000000e-03, 4.665364e-01
5.110560000000e-03, 4.702003e-01
5.115552000000e-03, 4.702003e-01
5.120544000000e-03, 4.726429e-01
5.125536000000e-03, 4.726429e-01
5.130528000000e-03, 4.738642e-01
5.135520000000e-03, 4.738642e-01
5.140512000000e-03, 4.750855e-01
5.145504000000e-03, 4.726429e-01
5.150496000000e-03, 4.738642e-01
5.155488000000e-03, 4.726429e-01
5.160480000000e-03, 4.714216e-01
5.165472000000e-03, 4.702003e-01
5.170464000000e-03, 4.677577e-01
5.175456000000e-03, 4.665364e-01
5.180448000000e-03, 4.653151e-01
5.185440000000e-03, 4.616512e-01
5.190432000000e-03, 4.592086e-01
5.195424000000e-03, 4.543234e-01
5.200416000000e-03, 4.518808e-01
5.205408000000e-03, 4.494382e-01
5.210400000000e-03, 4.421104e-01
5.215392000000e-03, 4.335613e-01
5.220384000000e-03, 4.189057e-01
5.225376000000e-03, 4.054714e-01
5.230368000000e-03, 3.932584e-01
5.235360000000e-03, 3.810455e-01
5.240352000000e-03, 3.749390e-01
5.245344000000e-03, 3.700538e-01
5.250336000000e-03, 3.602834e-01
5.255328000000e-03, 3.541769e-01
5.260320000000e-03, 3.480704e-01
5.265312000000e-03, 3.407426e-01
5.270304000000e-03, 3.309722e-01
5.275296000000e-03, 3.260870e-01
5.280288000000e-03, 3.187592e-01
5.285280000000e-03, 3.126527e-01
5.290272000000e-03, 3.028823e-01
5.295264000000e-03, 2.967758e-01
5.300256000000e-03, 2.894480e-01
5.305248000000e-03, 2.821202e-01
5.310240000000e-03, 2.735711e-01
5.315232000000e-03, 2.650220e-01
5.320224000000e-03, 2.552516e-01
5.325216000000e-03, 2.479238e-01
5.330208000000e-03, 2.393747e-01
5.335200000000e-03, 2.283830e-01
5.340192000000e-03, 2.198339e-01
5.345184000000e-03, 2.125061e-01
5.350176000000e-03, 2.039570e-01
5.355168000000e-03, 1.941866e-01
5.360160000000e-03, 1.856375e-01
5.365152000000e-03, 1.734245e-01
5.370144000000e-03, 1.636541e-01
5.375136000000e-03, 1.538837e-01
5.380128000000e-03, 1.428920e-01
5.385120000000e-03, 1.331216e-01
5.390112000000e-03, 1.209087e-01
5.395104000000e-03, 1.123596e-01
5.400096000000e-03, 1.001466e-01
5.405088000000e-03, 8.915487e-02
5.410080000000e-03, 7.694187e-02
5.415072000000e-03, 6.595017e-02
5.420064000000e-03, 5.373718e-02
5.425056000000e-03, 4.396678e-02
5.430048000000e-03, 3.297509e-02
5.435040000000e-03, 2.076209e-02
5.440032000000e-03, 8.549097e-03
5.445024000000e-03, -2.442599e-03
5.450016000000e-03, -1.343429e-02
5.455008000000e-03, -2.564729e-02
5.460000000000e-03, -3.663899e-02
5.464992000000e-03, -4.763068e-02
5.469984000000e-03, -5.862238e-02
5.474976000000e-03, -6.961407e-02
5.479968000000e-03, -8.060577e-02
5.484960000000e-03, -9.037616e-02
5.489952000000e-03, -1.013679e-01
5.494944000000e-03, -1.123596e-01
5.499936000000e-03, -1.233513e-01
5.504928000000e-03, -1.306790e-01
5.509920000000e-03, -1.416707e-01
5.514912000000e-03, -1.538837e-01
5.519904000000e-03, -1.624328e-01
5.524896000000e-03, -1.734245e-01
5.529888000000e-03, -1.844162e-01
5.534880000000e-03, -1.941866e-01
5.539872000000e-03, -2.051783e-01
5.544864000000e-03, -2.137274e-01
5.549856000000e-03, -2.222765e-01
5.554848000000e-03, -2.308256e-01
5.559840000000e-03, -2.430386e-01
5.564832000000e-03, -2.503664e-01
5.569824000000e-03, -2.613581e-01
5.574816000000e-03, -2.711285e-01
5.579808000000e-03, -2.796776e-01
