% Moku:Go Spectrum Analyzer
% Input 1 (on), AC, 30 MHz, 1 MOhm, 10 Vpp
% Input 2 (off), AC, 30 MHz, 1 MOhm, 10 Vpp
% Start freq 400 Hz, stop freq 600 Hz, RBW 977.5 mHz (Auto mode), Hann window, Video filter off
% Averaging: 1 spectra per frame, 10 frame averages
% Output 1 (on) - 500.000 000 Hz, 1.000 Vpp
% Output 2 (off) - 20.000 000 000 000 MHz, 1.000 Vpp
% 
% Acquired 2026-04-30 T 13:18:33 +0200
% Frequency (Hz), Input 1 (dBm)
3.999316444000e+02, -7.957893e+01
4.001303265492e+02, -8.077805e+01
4.003290086985e+02, -8.326998e+01
4.005276908477e+02, -8.524623e+01
4.007263729970e+02, -8.614903e+01
4.009250551462e+02, -8.315779e+01
4.011237372955e+02, -8.208573e+01
4.013224194447e+02, -8.241656e+01
4.015211015940e+02, -8.376322e+01
4.017197837432e+02, -8.536554e+01
4.019184658925e+02, -8.585842e+01
4.021171480417e+02, -8.382921e+01
4.023158301910e+02, -8.258462e+01
4.025145123402e+02, -8.189471e+01
4.027131944895e+02, -8.160081e+01
4.029118766387e+02, -8.178167e+01
4.031105587880e+02, -8.223837e+01
4.033092409372e+02, -8.104320e+01
4.035079230865e+02, -8.038082e+01
4.037066052357e+02, -8.011538e+01
4.039052873850e+02, -8.038365e+01
4.041039695342e+02, -8.256645e+01
4.043026516835e+02, -8.210742e+01
4.045013338327e+02, -8.258899e+01
4.047000159820e+02, -8.287424e+01
4.048986981312e+02, -8.254357e+01
4.050973802805e+02, -8.310959e+01
4.052960624297e+02, -8.168453e+01
4.054947445790e+02, -8.129098e+01
4.056934267282e+02, -8.153836e+01
4.058921088775e+02, -8.265957e+01
4.060907910268e+02, -8.335660e+01
4.062894731760e+02, -8.332928e+01
4.064881553253e+02, -8.279415e+01
4.066868374745e+02, -8.201952e+01
4.068855196238e+02, -8.172200e+01
4.070842017730e+02, -8.204304e+01
4.072828839223e+02, -8.276056e+01
4.074815660715e+02, -8.235640e+01
4.076802482208e+02, -8.230697e+01
4.078789303700e+02, -8.300768e+01
4.080776125193e+02, -8.454102e+01
4.082762946685e+02, -8.423913e+01
4.084749768178e+02, -8.312223e+01
4.086736589670e+02, -8.159336e+01
4.088723411163e+02, -8.107936e+01
4.090710232655e+02, -8.137569e+01
4.092697054148e+02, -8.188614e+01
4.094683875640e+02, -8.222239e+01
4.096670697133e+02, -8.158096e+01
4.098657518625e+02, -8.114039e+01
4.100644340118e+02, -8.206011e+01
4.102631161610e+02, -8.443559e+01
4.104617983103e+02, -8.676921e+01
4.106604804595e+02, -8.551312e+01
4.108591626088e+02, -8.564725e+01
4.110578447580e+02, -8.491705e+01
4.112565269073e+02, -8.421017e+01
4.114552090565e+02, -8.429629e+01
4.116538912058e+02, -8.482510e+01
4.118525733550e+02, -8.427149e+01
