% Moku:Go Spectrum Analyzer
% Input A (on)
% Input B (off)
% Start freq 400 Hz, stop freq 600 Hz, RBW 977.5 mHz (Auto mode), Hann window, Video filter off
% Averaging: 1 spectra per frame, 10 frame averages
% 
% Acquired 2026-04-30 T 13:35:56 +0200
% Frequency (Hz), Input A (dBm)
3.999316444000e+02, -8.081520e+01
4.001303265492e+02, -8.147880e+01
4.003290086985e+02, -8.200891e+01
4.005276908477e+02, -8.309922e+01
4.007263729970e+02, -8.272613e+01
4.009250551462e+02, -8.244317e+01
4.011237372955e+02, -8.260100e+01
4.013224194447e+02, -8.388145e+01
4.015211015940e+02, -8.348501e+01
4.017197837432e+02, -8.169643e+01
4.019184658925e+02, -8.129401e+01
4.021171480417e+02, -8.180612e+01
4.023158301910e+02, -8.242660e+01
4.025145123402e+02, -8.188885e+01
4.027131944895e+02, -8.064001e+01
4.029118766387e+02, -8.021308e+01
4.031105587880e+02, -8.064984e+01
4.033092409372e+02, -8.213740e+01
4.035079230865e+02, -8.418768e+01
4.037066052357e+02, -8.384414e+01
4.039052873850e+02, -8.305747e+01
4.041039695342e+02, -8.207770e+01
4.043026516835e+02, -8.085750e+01
4.045013338327e+02, -8.059420e+01
4.047000159820e+02, -8.061774e+01
4.048986981312e+02, -7.994168e+01
4.050973802805e+02, -8.014617e+01
4.052960624297e+02, -8.168261e+01
4.054947445790e+02, -8.550269e+01
4.056934267282e+02, -8.069521e+01
4.058921088775e+02, -7.894066e+01
4.060907910268e+02, -7.782388e+01
4.062894731760e+02, -7.717975e+01
4.064881553253e+02, -7.717350e+01
4.066868374745e+02, -7.801205e+01
4.068855196238e+02, -8.008735e+01
4.070842017730e+02, -8.266203e+01
4.072828839223e+02, -8.161404e+01
4.074815660715e+02, -8.118400e+01
4.076802482208e+02, -7.955680e+01
4.078789303700e+02, -7.834702e+01
4.080776125193e+02, -7.839584e+01
4.082762946685e+02, -8.028777e+01
4.084749768178e+02, -7.977024e+01
4.086736589670e+02, -8.123454e+01
4.088723411163e+02, -8.428819e+01
4.090710232655e+02, -8.359706e+01
4.092697054148e+02, -8.301041e+01
4.094683875640e+02, -8.293793e+01
4.096670697133e+02, -8.293694e+01
4.098657518625e+02, -8.163480e+01
4.100644340118e+02, -8.155771e+01
4.102631161610e+02, -8.253204e+01
4.104617983103e+02, -8.345097e+01
4.106604804595e+02, -8.283014e+01
4.108591626088e+02, -8.152352e+01
4.110578447580e+02, -8.075737e+01
4.112565269073e+02, -8.100701e+01
4.114552090565e+02, -8.226843e+01
4.116538912058e+02, -8.311379e+01
4.118525733550e+02, -8.357347e+01
4.120512555043e+02, -8.029620e+01
4.122499376535e+02, -7.957976e+01
4.124486198028e+02, -8.014272e+01
4.126473019520e+02, -8.252953e+01
4.128459841013e+02, -8.337740e+01
4.130446662505e+02, -8.454947e+01
4.132433483998e+02, -8.611017e+01
4.134420305490e+02, -8.502313e+01
4.136407126983e+02, -8.298986e+01
4.138393948476e+02, -8.281237e+01
4.140380769968e+02, -8.189519e+01
4.142367591461e+02, -8.099563e+01
4.144354412953e+02, -8.121451e+01
4.146341234446e+02, -8.109259e+01
4.148328055938e+02, -8.244718e+01
4.150314877431e+02, -8.270785e+01
4.152301698923e+02, -8.246657e+01
4.154288520416e+02, -8.233672e+01
4.156275341908e+02, -8.291355e+01
4.158262163401e+02, -8.375546e+01
4.160248984893e+02, -8.265796e+01
4.162235806386e+02, -8.188703e+01
4.164222627878e+02, -8.123972e+01
4.166209449371e+02, -8.077155e+01
4.168196270863e+02, -8.105805e+01
4.170183092356e+02, -8.236284e+01
4.172169913848e+02, -8.334043e+01
4.174156735341e+02, -8.433441e+01
4.176143556833e+02, -8.413676e+01
4.178130378326e+02, -8.427569e+01
4.180117199818e+02, -8.595377e+01
4.182104021311e+02, -8.431033e+01
4.184090842803e+02, -8.321121e+01
4.186077664296e+02, -8.148548e+01
4.188064485788e+02, -8.042372e+01
4.190051307281e+02, -8.070919e+01
4.192038128773e+02, -8.196903e+01
4.194024950266e+02, -8.371870e+01
4.196011771758e+02, -8.614193e+01
4.197998593251e+02, -8.405829e+01
4.199985414743e+02, -8.155666e+01
4.201972236236e+02, -8.070518e+01
4.203959057728e+02, -8.085544e+01
4.205945879221e+02, -8.151536e+01
4.207932700713e+02, -8.171707e+01
4.209919522206e+02, -8.156721e+01
4.211906343699e+02, -8.151973e+01
4.213893165191e+02, -8.160806e+01
4.215879986684e+02, -8.219424e+01
4.217866808176e+02, -8.263304e+01
4.219853629669e+02, -8.289063e+01
4.221840451161e+02, -8.386397e+01
4.223827272654e+02, -8.491913e+01
4.225814094146e+02, -8.518494e+01
4.227800915639e+02, -8.493519e+01
4.229787737131e+02, -8.487456e+01
4.231774558624e+02, -8.496072e+01
4.233761380116e+02, -8.559313e+01
4.235748201609e+02, -8.378336e+01
4.237735023101e+02, -8.147761e+01
4.239721844594e+02, -8.003485e+01
4.241708666086e+02, -7.961593e+01
4.243695487579e+02, -8.197687e+01
4.245682309071e+02, -7.926865e+01
4.247669130564e+02, -7.994370e+01
4.249655952056e+02, -8.298752e+01
4.251642773549e+02, -8.231578e+01
4.253629595041e+02, -8.021623e+01
4.255616416534e+02, -7.963404e+01
4.257603238026e+02, -7.964982e+01
4.259590059519e+02, -7.989640e+01
4.261576881011e+02, -8.109627e+01
4.263563702504e+02, -8.366777e+01
4.265550523996e+02, -8.448110e+01
4.267537345489e+02, -8.310743e+01
4.269524166981e+02, -8.232316e+01
4.271510988474e+02, -8.139146e+01
4.273497809966e+02, -8.101526e+01
4.275484631459e+02, -8.091767e+01
4.277471452951e+02, -8.109839e+01
4.279458274444e+02, -8.189121e+01
4.281445095936e+02, -8.347330e+01
4.283431917429e+02, -8.598349e+01
4.285418738921e+02, -8.576437e+01
4.287405560414e+02, -8.517644e+01
4.289392381907e+02, -8.471117e+01
4.291379203399e+02, -8.379776e+01
4.293366024892e+02, -8.341713e+01
4.295352846384e+02, -8.335744e+01
4.297339667877e+02, -8.138340e+01
4.299326489369e+02, -8.089657e+01
4.301313310862e+02, -8.091435e+01
4.303300132354e+02, -8.045314e+01
4.305286953847e+02, -7.984297e+01
4.307273775339e+02, -7.972602e+01
4.309260596832e+02, -8.016295e+01
4.311247418324e+02, -8.125972e+01
4.313234239817e+02, -8.312960e+01
4.315221061309e+02, -8.164848e+01
4.317207882802e+02, -8.099855e+01
4.319194704294e+02, -8.121016e+01
4.321181525787e+02, -8.128967e+01
4.323168347279e+02, -8.082841e+01
4.325155168772e+02, -8.062045e+01
4.327141990264e+02, -8.144617e+01
4.329128811757e+02, -8.272071e+01
4.331115633249e+02, -8.319188e+01
4.333102454742e+02, -8.461076e+01
4.335089276234e+02, -8.450632e+01
4.337076097727e+02, -8.189274e+01
4.339062919219e+02, -8.098413e+01
4.341049740712e+02, -8.117017e+01
4.343036562204e+02, -8.175045e+01
4.345023383697e+02, -8.083673e+01
4.347010205189e+02, -8.100299e+01
4.348997026682e+02, -8.377768e+01
4.350983848174e+02, -8.082475e+01
4.352970669667e+02, -8.008723e+01
4.354957491159e+02, -8.008779e+01
4.356944312652e+02, -8.051579e+01
4.358931134144e+02, -8.030588e+01
4.360917955637e+02, -8.062121e+01
4.362904777129e+02, -8.072165e+01
4.364891598622e+02, -7.988554e+01
4.366878420115e+02, -8.089145e+01
4.368865241607e+02, -8.184972e+01
4.370852063100e+02, -8.342772e+01
4.372838884592e+02, -8.537413e+01
4.374825706085e+02, -8.444998e+01
4.376812527577e+02, -8.297443e+01
4.378799349070e+02, -8.221386e+01
4.380786170562e+02, -8.251074e+01
4.382772992055e+02, -8.385197e+01
4.384759813547e+02, -8.569957e+01
4.386746635040e+02, -8.353963e+01
4.388733456532e+02, -8.068580e+01
4.390720278025e+02, -7.918106e+01
4.392707099517e+02, -7.828984e+01
4.394693921010e+02, -7.791635e+01
4.396680742502e+02, -7.805609e+01
4.398667563995e+02, -7.868671e+01
4.400654385487e+02, -7.880775e+01
4.402641206980e+02, -7.876759e+01
4.404628028472e+02, -7.937717e+01
4.406614849965e+02, -8.125430e+01
4.408601671457e+02, -8.143451e+01
4.410588492950e+02, -8.107389e+01
4.412575314442e+02, -8.171528e+01
4.414562135935e+02, -8.283511e+01
4.416548957427e+02, -8.419402e+01
4.418535778920e+02, -8.505070e+01
4.420522600412e+02, -8.562343e+01
4.422509421905e+02, -8.527094e+01
4.424496243397e+02, -8.382135e+01
4.426483064890e+02, -8.234381e+01
4.428469886382e+02, -8.078138e+01
4.430456707875e+02, -7.955187e+01
4.432443529367e+02, -7.905424e+01
4.434430350860e+02, -7.911171e+01
4.436417172352e+02, -7.939234e+01
4.438403993845e+02, -7.943939e+01
4.440390815337e+02, -7.953147e+01
4.442377636830e+02, -8.028048e+01
4.444364458323e+02, -8.298968e+01
4.446351279815e+02, -8.230471e+01
4.448338101308e+02, -8.304871e+01
4.450324922800e+02, -8.258838e+01
4.452311744293e+02, -8.183768e+01
4.454298565785e+02, -8.214932e+01
4.456285387278e+02, -8.324453e+01
4.458272208770e+02, -8.498171e+01
4.460259030263e+02, -8.221868e+01
4.462245851755e+02, -8.127425e+01
4.464232673248e+02, -7.958490e+01
4.466219494740e+02, -7.852416e+01
4.468206316233e+02, -7.851550e+01
4.470193137725e+02, -7.923198e+01
4.472179959218e+02, -7.949027e+01
4.474166780710e+02, -7.991383e+01
4.476153602203e+02, -8.062819e+01
4.478140423695e+02, -8.109736e+01
4.480127245188e+02, -8.119550e+01
