% Moku:Go Spectrum Analyzer
% Input A (on)
% Input B (off)
% Start freq 0 Hz, stop freq 1.076 kHz, RBW 2.000 Hz (Manual mode), Hann window, Video filter off
% Averaging: 1 spectra per frame, 15 frame averages
% 
% Acquired 2026-04-30 T 15:28:46 +0200
% Frequency (Hz), Input A (dBm)
-5.655197633636e-01, -1.961223e+01
4.941183659767e-01, -1.936858e+01
1.553756495317e+00, -2.703429e+01
2.613394624657e+00, -6.157530e+01
3.673032753998e+00, -5.680115e+01
4.732670883338e+00, -6.074582e+01
5.792309012678e+00, -6.812257e+01
6.851947142018e+00, -7.377122e+01
7.911585271359e+00, -7.917566e+01
8.971223400699e+00, -7.588470e+01
1.003086153004e+01, -7.634598e+01
1.109049965938e+01, -7.554809e+01
1.215013778872e+01, -7.818067e+01
1.320977591806e+01, -7.976961e+01
1.426941404740e+01, -7.871896e+01
1.532905217674e+01, -7.880720e+01
1.638869030608e+01, -7.812705e+01
1.744832843542e+01, -7.758637e+01
1.850796656476e+01, -7.907208e+01
1.956760469410e+01, -8.018489e+01
2.062724282344e+01, -8.057622e+01
2.168688095278e+01, -7.914521e+01
2.274651908212e+01, -7.947895e+01
2.380615721146e+01, -8.077290e+01
2.486579534080e+01, -8.302148e+01
2.592543347014e+01, -7.973362e+01
2.698507159948e+01, -8.053249e+01
2.804470972882e+01, -8.139532e+01
2.910434785816e+01, -8.144796e+01
3.016398598750e+01, -8.082517e+01
3.122362411684e+01, -8.065114e+01
3.228326224619e+01, -8.244764e+01
3.334290037553e+01, -8.577810e+01
3.440253850487e+01, -8.303292e+01
3.546217663421e+01, -8.172874e+01
3.652181476355e+01, -7.989191e+01
3.758145289289e+01, -7.989978e+01
3.864109102223e+01, -8.009023e+01
3.970072915157e+01, -8.133325e+01
4.076036728091e+01, -8.225041e+01
4.182000541025e+01, -8.062282e+01
4.287964353959e+01, -8.152409e+01
4.393928166893e+01, -8.299962e+01
4.499891979827e+01, -7.962341e+01
4.605855792761e+01, -8.188746e+01
4.711819605695e+01, -7.001418e+01
4.817783418629e+01, -4.721498e+01
4.923747231563e+01, -3.717212e+01
5.029711044497e+01, -3.577079e+01
5.135674857431e+01, -4.198191e+01
5.241638670365e+01, -6.412589e+01
5.347602483299e+01, -7.051557e+01
5.453566296233e+01, -7.668485e+01
5.559530109167e+01, -8.051746e+01
5.665493922101e+01, -8.525561e+01
5.771457735035e+01, -8.389415e+01
5.877421547969e+01, -8.093528e+01
5.983385360903e+01, -8.422858e+01
6.089349173837e+01, -8.266285e+01
6.195312986771e+01, -8.020852e+01
6.301276799705e+01, -8.235373e+01
6.407240612639e+01, -8.382906e+01
6.513204425573e+01, -8.102136e+01
6.619168238507e+01, -8.022232e+01
6.725132051441e+01, -8.233022e+01
6.831095864375e+01, -8.321011e+01
6.937059677309e+01, -8.252154e+01
7.043023490244e+01, -8.175298e+01
7.148987303178e+01, -8.393160e+01
7.254951116112e+01, -8.620267e+01
7.360914929046e+01, -8.524564e+01
7.466878741980e+01, -8.168276e+01
7.572842554914e+01, -8.165517e+01
7.678806367848e+01, -7.921703e+01
7.784770180782e+01, -7.893544e+01
7.890733993716e+01, -7.937383e+01
7.996697806650e+01, -8.340720e+01
8.102661619584e+01, -8.189573e+01
8.208625432518e+01, -8.009256e+01
8.314589245452e+01, -8.018019e+01
8.420553058386e+01, -8.045789e+01
8.526516871320e+01, -8.111343e+01
8.632480684254e+01, -8.281602e+01
8.738444497188e+01, -7.990461e+01
8.844408310122e+01, -7.976253e+01
8.950372123056e+01, -8.197088e+01
9.056335935990e+01, -8.185825e+01
9.162299748924e+01, -7.805549e+01
9.268263561858e+01, -7.826325e+01
9.374227374792e+01, -7.833518e+01
9.480191187726e+01, -7.726560e+01
9.586155000660e+01, -7.890039e+01
9.692118813594e+01, -8.116545e+01
9.798082626528e+01, -7.193761e+01
9.904046439462e+01, -6.074165e+01
1.001001025240e+02, -5.820231e+01
1.011597406533e+02, -6.315345e+01
1.022193787826e+02, -7.778718e+01
1.032790169120e+02, -7.998327e+01
1.043386550413e+02, -7.831587e+01
1.053982931707e+02, -7.912473e+01
1.064579313000e+02, -7.843046e+01
1.075175694293e+02, -7.983537e+01
1.085772075587e+02, -8.037323e+01
1.096368456880e+02, -7.889163e+01
1.106964838174e+02, -7.757323e+01
1.117561219467e+02, -7.683895e+01
1.128157600760e+02, -7.934180e+01
1.138753982054e+02, -8.314847e+01
1.149350363347e+02, -8.056664e+01
1.159946744641e+02, -7.811900e+01
1.170543125934e+02, -7.681882e+01
1.181139507227e+02, -7.753828e+01
1.191735888521e+02, -7.662281e+01
1.202332269814e+02, -7.697396e+01
1.212928651108e+02, -7.728178e+01
1.223525032401e+02, -7.619567e+01
1.234121413694e+02, -7.705987e+01
1.244717794988e+02, -7.638368e+01
1.255314176281e+02, -7.637486e+01
1.265910557575e+02, -7.601977e+01
1.276506938868e+02, -7.713484e+01
1.287103320162e+02, -7.647265e+01
1.297699701455e+02, -7.502457e+01
1.308296082748e+02, -7.538631e+01
1.318892464042e+02, -7.466244e+01
1.329488845335e+02, -7.498053e+01
1.340085226629e+02, -7.537002e+01
1.350681607922e+02, -7.624672e+01
1.361277989215e+02, -7.811309e+01
1.371874370509e+02, -7.788742e+01
1.382470751802e+02, -7.900525e+01
1.393067133096e+02, -7.929525e+01
1.403663514389e+02, -7.647129e+01
1.414259895682e+02, -7.665340e+01
1.424856276976e+02, -7.723384e+01
1.435452658269e+02, -7.609534e+01
1.446049039563e+02, -7.467879e+01
1.456645420856e+02, -7.601880e+01
1.467241802149e+02, -7.882061e+01
1.477838183443e+02, -7.786298e+01
1.488434564736e+02, -6.886420e+01
1.499030946030e+02, -6.508748e+01
1.509627327323e+02, -6.878763e+01
1.520223708616e+02, -7.729215e+01
1.530820089910e+02, -8.139549e+01
1.541416471203e+02, -7.949331e+01
1.552012852497e+02, -7.904594e+01
1.562609233790e+02, -7.885751e+01
1.573205615083e+02, -7.679514e+01
1.583801996377e+02, -7.708530e+01
1.594398377670e+02, -7.833046e+01
1.604994758964e+02, -7.930483e+01
1.615591140257e+02, -7.910932e+01
1.626187521550e+02, -7.623045e+01
1.636783902844e+02, -7.830236e+01
1.647380284137e+02, -7.899137e+01
1.657976665431e+02, -8.015740e+01
1.668573046724e+02, -7.926464e+01
1.679169428017e+02, -7.780231e+01
1.689765809311e+02, -7.816833e+01
1.700362190604e+02, -7.777113e+01
1.710958571898e+02, -7.967566e+01
1.721554953191e+02, -7.873758e+01
1.732151334484e+02, -7.638763e+01
1.742747715778e+02, -7.527013e+01
1.753344097071e+02, -7.567984e+01
1.763940478365e+02, -7.680117e+01
1.774536859658e+02, -7.845021e+01
1.785133240951e+02, -8.138059e+01
1.795729622245e+02, -8.014546e+01
