% Moku:Go Spectrum Analyzer
% Input A (on)
% Input B (off)
% Start freq 0 Hz, stop freq 1.076 kHz, RBW 5.259 Hz (Auto mode), Hann window, Video filter off
% Averaging: 2 spectra per frame, 15 frame averages
% 
% Acquired 2026-04-30 T 15:30:59 +0200
% Frequency (Hz), Input A (dBm)
-5.655197633636e-01, -1.868085e+01
4.941183659767e-01, -1.864624e+01
1.553756495317e+00, -1.964962e+01
2.613394624657e+00, -2.176925e+01
3.673032753998e+00, -2.520097e+01
4.732670883338e+00, -3.039660e+01
5.792309012678e+00, -3.865173e+01
6.851947142018e+00, -6.033911e+01
7.911585271359e+00, -5.057439e+01
8.971223400699e+00, -5.165803e+01
1.003086153004e+01, -6.223483e+01
1.109049965938e+01, -6.341481e+01
1.215013778872e+01, -5.995688e+01
1.320977591806e+01, -6.550385e+01
1.426941404740e+01, -7.629929e+01
1.532905217674e+01, -6.737492e+01
1.638869030608e+01, -6.985911e+01
1.744832843542e+01, -7.751147e+01
1.850796656476e+01, -7.352071e+01
1.956760469410e+01, -7.285033e+01
2.062724282344e+01, -7.646167e+01
2.168688095278e+01, -7.634263e+01
2.274651908212e+01, -7.470505e+01
2.380615721146e+01, -7.604535e+01
2.486579534080e+01, -7.747727e+01
2.592543347014e+01, -7.709088e+01
2.698507159948e+01, -7.774435e+01
2.804470972882e+01, -7.976980e+01
2.910434785816e+01, -8.029469e+01
3.016398598750e+01, -8.035022e+01
3.122362411684e+01, -8.010073e+01
3.228326224619e+01, -8.024869e+01
3.334290037553e+01, -7.953173e+01
3.440253850487e+01, -7.850417e+01
3.546217663421e+01, -7.874372e+01
3.652181476355e+01, -7.888601e+01
3.758145289289e+01, -7.620674e+01
3.864109102223e+01, -7.645651e+01
3.970072915157e+01, -7.864826e+01
4.076036728091e+01, -6.921594e+01
4.182000541025e+01, -6.611493e+01
4.287964353959e+01, -7.664713e+01
4.393928166893e+01, -5.819079e+01
4.499891979827e+01, -4.844544e+01
4.605855792761e+01, -4.258485e+01
4.711819605695e+01, -3.870817e+01
4.817783418629e+01, -3.623259e+01
4.923747231563e+01, -3.491232e+01
5.029711044497e+01, -3.464159e+01
5.135674857431e+01, -3.540108e+01
5.241638670365e+01, -3.724817e+01
5.347602483299e+01, -4.034409e+01
5.453566296233e+01, -4.505492e+01
5.559530109167e+01, -5.233906e+01
5.665493922101e+01, -6.683735e+01
5.771457735035e+01, -6.813945e+01
5.877421547969e+01, -6.692148e+01
5.983385360903e+01, -7.433257e+01
6.089349173837e+01, -7.862699e+01
6.195312986771e+01, -7.436172e+01
6.301276799705e+01, -7.663618e+01
6.407240612639e+01, -7.991239e+01
6.513204425573e+01, -7.807893e+01
6.619168238507e+01, -7.812162e+01
6.725132051441e+01, -7.956107e+01
6.831095864375e+01, -7.971707e+01
6.937059677309e+01, -8.025626e+01
7.043023490244e+01, -8.173806e+01
7.148987303178e+01, -8.202458e+01
7.254951116112e+01, -8.053074e+01
7.360914929046e+01, -7.949820e+01
7.466878741980e+01, -7.879292e+01
7.572842554914e+01, -7.815670e+01
7.678806367848e+01, -7.769893e+01
7.784770180782e+01, -7.780425e+01
7.890733993716e+01, -7.853477e+01
7.996697806650e+01, -7.962433e+01
8.102661619584e+01, -8.072689e+01
8.208625432518e+01, -8.081459e+01
8.314589245452e+01, -8.119249e+01
