% Moku:Go Spectrum Analyzer
% Input A (on)
% Input B (off)
% Start freq 600 Hz, stop freq 1.076 kHz, RBW 2.326 Hz (Auto mode), Hann window, Video filter off
% Averaging: 1 spectra per frame, 15 frame averages
% 
% Acquired 2026-04-30 T 15:33:07 +0200
% Frequency (Hz), Input A (dBm)
5.998960868628e+02, -7.721407e+01
6.003670371425e+02, -7.653139e+01
6.008379874222e+02, -7.687465e+01
6.013089377019e+02, -7.827055e+01
6.017798879816e+02, -8.080985e+01
6.022508382613e+02, -8.478524e+01
6.027217885410e+02, -9.113877e+01
6.031927388207e+02, -9.157053e+01
6.036636891004e+02, -9.172095e+01
6.041346393802e+02, -9.039787e+01
6.046055896599e+02, -8.940383e+01
6.050765399396e+02, -8.907102e+01
6.055474902193e+02, -8.929239e+01
6.060184404990e+02, -8.938958e+01
6.064893907787e+02, -8.866294e+01
6.069603410584e+02, -8.866137e+01
6.074312913381e+02, -8.921241e+01
6.079022416178e+02, -9.024645e+01
6.083731918975e+02, -9.194021e+01
6.088441421772e+02, -9.523982e+01
6.093150924569e+02, -9.310246e+01
6.097860427366e+02, -9.262473e+01
6.102569930163e+02, -9.241452e+01
6.107279432960e+02, -9.222720e+01
6.111988935758e+02, -9.059603e+01
6.116698438555e+02, -8.991864e+01
6.121407941352e+02, -8.966774e+01
6.126117444149e+02, -9.031466e+01
6.130826946946e+02, -8.993399e+01
6.135536449743e+02, -8.990692e+01
6.140245952540e+02, -9.047644e+01
6.144955455337e+02, -8.892730e+01
6.149664958134e+02, -8.868374e+01
6.154374460931e+02, -8.829179e+01
6.159083963728e+02, -8.862605e+01
6.163793466525e+02, -8.984307e+01
6.168502969322e+02, -9.095746e+01
6.173212472119e+02, -9.195178e+01
6.177921974917e+02, -9.276858e+01
6.182631477714e+02, -9.311189e+01
6.187340980511e+02, -9.311050e+01
6.192050483308e+02, -9.258971e+01
6.196759986105e+02, -9.156569e+01
6.201469488902e+02, -9.111153e+01
6.206178991699e+02, -9.074688e+01
6.210888494496e+02, -9.005622e+01
6.215597997293e+02, -8.924721e+01
6.220307500090e+02, -8.930516e+01
6.225017002887e+02, -9.005086e+01
6.229726505684e+02, -9.105041e+01
6.234436008481e+02, -9.181489e+01
6.239145511278e+02, -9.127957e+01
6.243855014075e+02, -9.021303e+01
6.248564516873e+02, -8.963107e+01
6.253274019670e+02, -8.922766e+01
6.257983522467e+02, -8.926326e+01
6.262693025264e+02, -8.973654e+01
6.267402528061e+02, -8.928727e+01
6.272112030858e+02, -8.876277e+01
6.276821533655e+02, -8.872021e+01
6.281531036452e+02, -8.882116e+01
6.286240539249e+02, -8.805520e+01
6.290950042046e+02, -8.755251e+01
6.295659544843e+02, -8.744663e+01
6.300369047640e+02, -8.781579e+01
6.305078550437e+02, -8.859107e+01
6.309788053234e+02, -8.930477e+01
6.314497556031e+02, -8.885315e+01
6.319207058829e+02, -8.820077e+01
6.323916561626e+02, -8.764761e+01
6.328626064423e+02, -8.790266e+01
6.333335567220e+02, -8.817203e+01
6.338045070017e+02, -8.814351e+01
6.342754572814e+02, -8.767843e+01
6.347464075611e+02, -8.727135e+01
6.352173578408e+02, -8.737767e+01
6.356883081205e+02, -8.804366e+01
6.361592584002e+02, -8.938119e+01
6.366302086799e+02, -9.139204e+01
6.371011589596e+02, -9.262488e+01
6.375721092393e+02, -9.312066e+01
6.380430595190e+02, -9.158109e+01
6.385140097988e+02, -9.129908e+01
6.389849600785e+02, -9.152338e+01
6.394559103582e+02, -9.149299e+01
6.399268606379e+02, -9.136638e+01
6.403978109176e+02, -9.089494e+01
6.408687611973e+02, -9.060224e+01
6.413397114770e+02, -9.092520e+01
6.418106617567e+02, -9.121657e+01
6.422816120364e+02, -9.123419e+01
6.427525623161e+02, -9.154812e+01
6.432235125958e+02, -9.128781e+01
6.436944628755e+02, -9.020786e+01
6.441654131552e+02, -8.968168e+01
6.446363634349e+02, -8.938319e+01
6.451073137146e+02, -8.912129e+01
6.455782639944e+02, -8.863226e+01
6.460492142741e+02, -8.787762e+01
6.465201645538e+02, -8.765749e+01
6.469911148335e+02, -8.812978e+01
6.474620651132e+02, -9.005231e+01
6.479330153929e+02, -8.664844e+01
6.484039656726e+02, -7.952913e+01
6.488749159523e+02, -7.400183e+01
6.493458662320e+02, -7.049903e+01
6.498168165117e+02, -6.836477e+01
6.502877667914e+02, -6.736604e+01
6.507587170711e+02, -6.741584e+01
6.512296673508e+02, -6.851961e+01
6.517006176305e+02, -7.076926e+01
6.521715679102e+02, -7.440606e+01
6.526425181900e+02, -8.009321e+01
6.531134684697e+02, -8.772653e+01
6.535844187494e+02, -9.210499e+01
6.540553690291e+02, -9.457269e+01
6.545263193088e+02, -9.554604e+01
6.549972695885e+02, -9.485481e+01
6.554682198682e+02, -9.235854e+01
6.559391701479e+02, -9.211629e+01
6.564101204276e+02, -9.063054e+01
6.568810707073e+02, -8.834705e+01
6.573520209870e+02, -8.781833e+01
6.578229712667e+02, -8.829942e+01
6.582939215464e+02, -8.999807e+01
6.587648718261e+02, -9.151815e+01
6.592358221058e+02, -9.257899e+01
6.597067723856e+02, -9.459662e+01
6.601777226653e+02, -9.498295e+01
6.606486729450e+02, -9.300778e+01
6.611196232247e+02, -9.130206e+01
6.615905735044e+02, -9.125983e+01
6.620615237841e+02, -9.309470e+01
6.625324740638e+02, -9.243313e+01
6.630034243435e+02, -9.214294e+01
6.634743746232e+02, -9.118834e+01
6.639453249029e+02, -9.014770e+01
6.644162751826e+02, -8.939762e+01
6.648872254623e+02, -8.872902e+01
6.653581757420e+02, -8.842894e+01
6.658291260217e+02, -8.783659e+01
6.663000763015e+02, -8.785732e+01
6.667710265812e+02, -8.807481e+01
6.672419768609e+02, -8.841176e+01
6.677129271406e+02, -8.908596e+01
6.681838774203e+02, -9.029814e+01
6.686548277000e+02, -9.147637e+01
6.691257779797e+02, -9.066035e+01
6.695967282594e+02, -8.963099e+01
6.700676785391e+02, -8.937888e+01
6.705386288188e+02, -8.886081e+01
6.710095790985e+02, -8.833806e+01
6.714805293782e+02, -8.869823e+01
6.719514796579e+02, -9.030077e+01
6.724224299376e+02, -9.169268e+01
6.728933802173e+02, -9.112732e+01
6.733643304971e+02, -9.021639e+01
6.738352807768e+02, -8.934062e+01
6.743062310565e+02, -8.868809e+01
6.747771813362e+02, -8.847927e+01
6.752481316159e+02, -8.896378e+01
6.757190818956e+02, -8.975904e+01
6.761900321753e+02, -9.075054e+01
6.766609824550e+02, -9.158043e+01
6.771319327347e+02, -9.182492e+01
6.776028830144e+02, -9.227002e+01
6.780738332941e+02, -9.289776e+01
6.785447835738e+02, -9.314635e+01
6.790157338535e+02, -9.366877e+01
6.794866841332e+02, -9.286244e+01
6.799576344129e+02, -9.214700e+01
6.804285846927e+02, -9.187891e+01
6.808995349724e+02, -9.272374e+01
6.813704852521e+02, -9.171211e+01
6.818414355318e+02, -9.049395e+01
6.823123858115e+02, -8.930048e+01
6.827833360912e+02, -8.928195e+01
6.832542863709e+02, -8.969556e+01
6.837252366506e+02, -9.031577e+01
6.841961869303e+02, -9.064844e+01
6.846671372100e+02, -8.965074e+01
6.851380874897e+02, -8.880509e+01
6.856090377694e+02, -8.813236e+01
6.860799880491e+02, -8.782853e+01
6.865509383288e+02, -8.799177e+01
6.870218886085e+02, -8.883830e+01
6.874928388883e+02, -8.938532e+01
6.879637891680e+02, -8.942394e+01
6.884347394477e+02, -8.941009e+01
6.889056897274e+02, -8.896296e+01
6.893766400071e+02, -8.941320e+01
6.898475902868e+02, -8.951913e+01
6.903185405665e+02, -8.986908e+01
6.907894908462e+02, -8.933587e+01
6.912604411259e+02, -8.759789e+01
6.917313914056e+02, -8.657256e+01
6.922023416853e+02, -8.637570e+01
6.926732919650e+02, -8.690682e+01
6.931442422447e+02, -8.785576e+01
6.936151925244e+02, -8.872849e+01
6.940861428042e+02, -8.930599e+01
6.945570930839e+02, -8.964543e+01
6.950280433636e+02, -9.033748e+01
6.954989936433e+02, -8.911772e+01
6.959699439230e+02, -8.855997e+01
6.964408942027e+02, -8.841289e+01
6.969118444824e+02, -8.872559e+01
6.973827947621e+02, -8.973822e+01
6.978537450418e+02, -9.108414e+01
6.983246953215e+02, -9.170932e+01
6.987956456012e+02, -9.105628e+01
6.992665958809e+02, -9.013768e+01
6.997375461606e+02, -9.068676e+01
7.002084964403e+02, -8.870817e+01
7.006794467200e+02, -8.754646e+01
7.011503969998e+02, -8.707625e+01
7.016213472795e+02, -8.747594e+01
7.020922975592e+02, -8.840664e+01
7.025632478389e+02, -8.963147e+01
7.030341981186e+02, -9.036978e+01
7.035051483983e+02, -9.106004e+01
7.039760986780e+02, -9.098532e+01
7.044470489577e+02, -9.047112e+01
7.049179992374e+02, -9.175459e+01
7.053889495171e+02, -9.153869e+01
7.058598997968e+02, -9.002951e+01
7.063308500765e+02, -8.916367e+01
7.068018003562e+02, -8.778667e+01
7.072727506359e+02, -8.701671e+01
7.077437009156e+02, -8.677935e+01
7.082146511954e+02, -8.714922e+01
7.086856014751e+02, -8.755997e+01
7.091565517548e+02, -8.892834e+01
7.096275020345e+02, -9.264120e+01
7.100984523142e+02, -9.151329e+01
7.105694025939e+02, -9.068121e+01
7.110403528736e+02, -9.000637e+01
7.115113031533e+02, -9.024784e+01
7.119822534330e+02, -9.090838e+01
7.124532037127e+02, -9.350963e+01
7.129241539924e+02, -9.378275e+01
7.133951042721e+02, -9.565733e+01
7.138660545518e+02, -9.191037e+01
7.143370048315e+02, -9.022252e+01
7.148079551113e+02, -8.890849e+01
7.152789053910e+02, -8.835743e+01
7.157498556707e+02, -8.809199e+01
7.162208059504e+02, -8.858408e+01
7.166917562301e+02, -8.878335e+01
7.171627065098e+02, -8.860597e+01
7.176336567895e+02, -8.844882e+01
7.181046070692e+02, -8.838571e+01
7.185755573489e+02, -8.900513e+01
7.190465076286e+02, -8.979240e+01
7.195174579083e+02, -9.097763e+01
7.199884081880e+02, -9.019897e+01
7.204593584677e+02, -8.864957e+01
7.209303087474e+02, -8.717825e+01
7.214012590271e+02, -8.647439e+01
7.218722093069e+02, -8.717659e+01
7.223431595866e+02, -8.765317e+01
7.228141098663e+02, -8.713237e+01
7.232850601460e+02, -8.644376e+01
7.237560104257e+02, -8.657443e+01
7.242269607054e+02, -8.711001e+01
7.246979109851e+02, -8.848221e+01
7.251688612648e+02, -8.844095e+01
7.256398115445e+02, -8.807765e+01
7.261107618242e+02, -8.769680e+01
7.265817121039e+02, -8.805333e+01
7.270526623836e+02, -8.821359e+01
7.275236126633e+02, -8.860409e+01
7.279945629430e+02, -8.929387e+01
7.284655132227e+02, -8.965631e+01
7.289364635025e+02, -8.953380e+01
7.294074137822e+02, -9.102319e+01
7.298783640619e+02, -8.907670e+01
7.303493143416e+02, -8.753154e+01
7.308202646213e+02, -8.663432e+01
7.312912149010e+02, -8.654156e+01
7.317621651807e+02, -8.726024e+01
7.322331154604e+02, -8.742189e+01
7.327040657401e+02, -8.710040e+01
7.331750160198e+02, -8.744816e+01
7.336459662995e+02, -8.835675e+01
7.341169165792e+02, -9.098217e+01
7.345878668589e+02, -8.980820e+01
7.350588171386e+02, -8.955119e+01
7.355297674183e+02, -9.021341e+01
7.360007176981e+02, -9.019511e+01
7.364716679778e+02, -9.055439e+01
7.369426182575e+02, -9.087984e+01
7.374135685372e+02, -9.197074e+01
7.378845188169e+02, -9.294510e+01
7.383554690966e+02, -9.249599e+01
7.388264193763e+02, -9.144499e+01
7.392973696560e+02, -9.082626e+01
7.397683199357e+02, -8.952936e+01
7.402392702154e+02, -8.864916e+01
7.407102204951e+02, -8.837565e+01
7.411811707748e+02, -8.913550e+01
7.416521210545e+02, -8.944356e+01
7.421230713342e+02, -8.771025e+01
7.425940216140e+02, -8.720414e+01
7.430649718937e+02, -8.738021e+01
7.435359221734e+02, -8.818102e+01
7.440068724531e+02, -8.965759e+01
7.444778227328e+02, -9.088912e+01
7.449487730125e+02, -9.121327e+01
7.454197232922e+02, -9.144838e+01
7.458906735719e+02, -8.992927e+01
7.463616238516e+02, -8.928425e+01
7.468325741313e+02, -8.820819e+01
7.473035244110e+02, -8.803286e+01
7.477744746907e+02, -8.644662e+01
7.482454249704e+02, -8.181526e+01
7.487163752501e+02, -7.685592e+01
7.491873255298e+02, -7.312655e+01
7.496582758096e+02, -7.058721e+01
7.501292260893e+02, -6.914158e+01
7.506001763690e+02, -6.873125e+01
7.510711266487e+02, -6.936411e+01
7.515420769284e+02, -7.112525e+01
7.520130272081e+02, -7.422794e+01
7.524839774878e+02, -7.889271e+01
7.529549277675e+02, -8.487003e+01
7.534258780472e+02, -8.799983e+01
7.538968283269e+02, -8.753953e+01
7.543677786066e+02, -8.704713e+01
7.548387288863e+02, -8.811694e+01
7.553096791660e+02, -8.919589e+01
7.557806294457e+02, -8.989606e+01
7.562515797254e+02, -8.944715e+01
7.567225300052e+02, -8.877067e+01
7.571934802849e+02, -8.864524e+01
7.576644305646e+02, -8.876960e+01
7.581353808443e+02, -8.855569e+01
7.586063311240e+02, -8.836941e+01
7.590772814037e+02, -8.863360e+01
7.595482316834e+02, -8.957848e+01
7.600191819631e+02, -8.973903e+01
7.604901322428e+02, -8.921800e+01
7.609610825225e+02, -8.930782e+01
7.614320328022e+02, -8.925187e+01
7.619029830819e+02, -8.920058e+01
7.623739333616e+02, -9.129282e+01
7.628448836413e+02, -8.928460e+01
7.633158339210e+02, -8.864689e+01
7.637867842008e+02, -8.686898e+01
7.642577344805e+02, -8.607315e+01
7.647286847602e+02, -8.531272e+01
7.651996350399e+02, -8.497450e+01
7.656705853196e+02, -8.529889e+01
7.661415355993e+02, -8.599692e+01
7.666124858790e+02, -8.715383e+01
7.670834361587e+02, -8.823901e+01
7.675543864384e+02, -8.754312e+01
7.680253367181e+02, -8.757980e+01
7.684962869978e+02, -8.810930e+01
7.689672372775e+02, -8.940848e+01
7.694381875572e+02, -8.845328e+01
7.699091378369e+02, -8.772050e+01
7.703800881167e+02, -8.759726e+01
7.708510383964e+02, -8.811122e+01
7.713219886761e+02, -8.564826e+01
7.717929389558e+02, -8.483465e+01
7.722638892355e+02, -8.460746e+01
7.727348395152e+02, -8.479846e+01
7.732057897949e+02, -8.579545e+01
7.736767400746e+02, -8.579489e+01
7.741476903543e+02, -8.627215e+01
7.746186406340e+02, -8.693206e+01
7.750895909137e+02, -8.781346e+01
7.755605411934e+02, -8.805768e+01
7.760314914731e+02, -8.875616e+01
7.765024417528e+02, -8.943750e+01
7.769733920325e+02, -9.176047e+01
7.774443423123e+02, -9.023522e+01
7.779152925920e+02, -8.994839e+01
7.783862428717e+02, -8.844785e+01
7.788571931514e+02, -8.754508e+01
7.793281434311e+02, -8.745515e+01
7.797990937108e+02, -8.621898e+01
7.802700439905e+02, -8.594956e+01
7.807409942702e+02, -8.611142e+01
7.812119445499e+02, -8.596257e+01
7.816828948296e+02, -8.594240e+01
7.821538451093e+02, -8.676641e+01
7.826247953890e+02, -8.752845e+01
7.830957456687e+02, -8.763060e+01
7.835666959484e+02, -8.749034e+01
7.840376462281e+02, -8.650049e+01
7.845085965079e+02, -8.641450e+01
7.849795467876e+02, -8.744005e+01
7.854504970673e+02, -8.986687e+01
7.859214473470e+02, -8.993449e+01
7.863923976267e+02, -8.871033e+01
7.868633479064e+02, -8.849597e+01
7.873342981861e+02, -8.853111e+01
7.878052484658e+02, -8.670852e+01
7.882761987455e+02, -8.669873e+01
7.887471490252e+02, -8.688968e+01
7.892180993049e+02, -8.731855e+01
7.896890495846e+02, -8.739886e+01
7.901599998643e+02, -8.691448e+01
7.906309501440e+02, -8.655245e+01
7.911019004238e+02, -8.600385e+01
7.915728507035e+02, -8.579184e+01
7.920438009832e+02, -8.606337e+01
7.925147512629e+02, -8.668236e+01
7.929857015426e+02, -8.742215e+01
7.934566518223e+02, -8.791533e+01
7.939276021020e+02, -8.858711e+01
7.943985523817e+02, -8.752510e+01
7.948695026614e+02, -8.757236e+01
7.953404529411e+02, -8.740104e+01
7.958114032208e+02, -8.711554e+01
7.962823535005e+02, -8.779943e+01
7.967533037802e+02, -8.849459e+01
7.972242540599e+02, -8.667577e+01
7.976952043396e+02, -8.520045e+01
7.981661546194e+02, -8.450745e+01
7.986371048991e+02, -8.510916e+01
7.991080551788e+02, -8.420208e+01
7.995790054585e+02, -8.376375e+01
8.000499557382e+02, -8.334449e+01
8.005209060179e+02, -8.286808e+01
8.009918562976e+02, -8.357197e+01
8.014628065773e+02, -8.348830e+01
8.019337568570e+02, -8.483985e+01
8.024047071367e+02, -8.731934e+01
8.028756574164e+02, -8.533799e+01
8.033466076961e+02, -8.430585e+01
8.038175579758e+02, -8.387155e+01
8.042885082555e+02, -8.256767e+01
8.047594585352e+02, -8.155556e+01
8.052304088150e+02, -8.139787e+01
8.057013590947e+02, -8.211011e+01
8.061723093744e+02, -8.309975e+01
8.066432596541e+02, -8.396587e+01
8.071142099338e+02, -8.635490e+01
8.075851602135e+02, -8.540262e+01
8.080561104932e+02, -8.429826e+01
8.085270607729e+02, -8.341897e+01
8.089980110526e+02, -8.267483e+01
8.094689613323e+02, -8.172670e+01
8.099399116120e+02, -8.125722e+01
8.104108618917e+02, -8.149384e+01
8.108818121714e+02, -8.213054e+01
8.113527624511e+02, -8.246745e+01
8.118237127308e+02, -8.170807e+01
8.122946630106e+02, -8.158966e+01
8.127656132903e+02, -8.169070e+01
8.132365635700e+02, -8.113063e+01
8.137075138497e+02, -7.987569e+01
8.141784641294e+02, -7.949176e+01
8.146494144091e+02, -7.992553e+01
8.151203646888e+02, -8.129824e+01
8.155913149685e+02, -8.331763e+01
8.160622652482e+02, -8.100288e+01
8.165332155279e+02, -8.011851e+01
8.170041658076e+02, -8.005950e+01
8.174751160873e+02, -8.076969e+01
8.179460663670e+02, -8.178484e+01
8.184170166467e+02, -8.141920e+01
8.188879669265e+02, -8.142241e+01
8.193589172062e+02, -8.159432e+01
8.198298674859e+02, -7.958171e+01
8.203008177656e+02, -7.823907e+01
8.207717680453e+02, -7.689814e+01
8.212427183250e+02, -7.600239e+01
8.217136686047e+02, -7.587153e+01
8.221846188844e+02, -7.644048e+01
8.226555691641e+02, -7.800924e+01
8.231265194438e+02, -7.692913e+01
8.235974697235e+02, -7.532669e+01
8.240684200032e+02, -7.415853e+01
8.245393702829e+02, -7.279658e+01
8.250103205626e+02, -7.193995e+01
8.254812708423e+02, -7.168978e+01
8.259522211221e+02, -7.186201e+01
8.264231714018e+02, -7.210402e+01
8.268941216815e+02, -7.204009e+01
8.273650719612e+02, -7.197441e+01
8.278360222409e+02, -7.226840e+01
8.283069725206e+02, -7.133256e+01
8.287779228003e+02, -6.956831e+01
8.292488730800e+02, -6.867084e+01
8.297198233597e+02, -6.768079e+01
8.301907736394e+02, -6.613371e+01
8.306617239191e+02, -6.522165e+01
8.311326741988e+02, -6.494060e+01
8.316036244785e+02, -6.549964e+01
8.320745747582e+02, -6.639522e+01
8.325455250379e+02, -6.768852e+01
8.330164753177e+02, -6.985426e+01
8.334874255974e+02, -7.079350e+01
8.339583758771e+02, -7.006356e+01
8.344293261568e+02, -7.002173e+01
8.349002764365e+02, -6.971322e+01
8.353712267162e+02, -7.021676e+01
8.358421769959e+02, -7.105739e+01
8.363131272756e+02, -7.163209e+01
8.367840775553e+02, -7.216636e+01
8.372550278350e+02, -7.287694e+01
8.377259781147e+02, -7.412450e+01
8.381969283944e+02, -7.648224e+01
8.386678786741e+02, -7.737729e+01
8.391388289538e+02, -7.797624e+01
8.396097792335e+02, -7.804565e+01
8.400807295133e+02, -7.877887e+01
8.405516797930e+02, -7.875877e+01
8.410226300727e+02, -7.804791e+01
8.414935803524e+02, -7.924754e+01
8.419645306321e+02, -7.834905e+01
8.424354809118e+02, -7.821814e+01
8.429064311915e+02, -7.897724e+01
8.433773814712e+02, -8.140696e+01
8.438483317509e+02, -8.097422e+01
8.443192820306e+02, -8.219189e+01
8.447902323103e+02, -8.284438e+01
8.452611825900e+02, -8.158516e+01
8.457321328697e+02, -8.218370e+01
8.462030831494e+02, -8.318477e+01
8.466740334292e+02, -8.405250e+01
8.471449837089e+02, -8.377991e+01
8.476159339886e+02, -8.401339e+01
8.480868842683e+02, -8.093312e+01
8.485578345480e+02, -7.425969e+01
8.490287848277e+02, -6.886099e+01
8.494997351074e+02, -6.534537e+01
8.499706853871e+02, -6.320216e+01
8.504416356668e+02, -6.220687e+01
8.509125859465e+02, -6.226907e+01
8.513835362262e+02, -6.338277e+01
8.518544865059e+02, -6.561366e+01
8.523254367856e+02, -6.912577e+01
8.527963870653e+02, -7.427415e+01
8.532673373450e+02, -8.086920e+01
8.537382876248e+02, -8.371658e+01
8.542092379045e+02, -8.414613e+01
8.546801881842e+02, -8.584906e+01
8.551511384639e+02, -8.608411e+01
8.556220887436e+02, -8.643324e+01
8.560930390233e+02, -8.665303e+01
8.565639893030e+02, -8.741921e+01
8.570349395827e+02, -8.816609e+01
8.575058898624e+02, -8.706524e+01
8.579768401421e+02, -8.478828e+01
8.584477904218e+02, -8.333653e+01
8.589187407015e+02, -8.280528e+01
8.593896909812e+02, -8.304141e+01
8.598606412609e+02, -8.391301e+01
8.603315915406e+02, -8.424044e+01
8.608025418204e+02, -8.381655e+01
8.612734921001e+02, -8.406129e+01
8.617444423798e+02, -8.471356e+01
8.622153926595e+02, -8.541803e+01
8.626863429392e+02, -8.543775e+01
8.631572932189e+02, -8.428446e+01
8.636282434986e+02, -8.372857e+01
8.640991937783e+02, -8.377918e+01
8.645701440580e+02, -8.417701e+01
8.650410943377e+02, -8.412381e+01
8.655120446174e+02, -8.564298e+01
8.659829948971e+02, -8.663571e+01
8.664539451768e+02, -8.657391e+01
8.669248954565e+02, -8.676521e+01
8.673958457363e+02, -8.727128e+01
8.678667960160e+02, -8.762977e+01
8.683377462957e+02, -8.779914e+01
8.688086965754e+02, -8.825481e+01
8.692796468551e+02, -8.893285e+01
8.697505971348e+02, -8.985806e+01
8.702215474145e+02, -8.974396e+01
8.706924976942e+02, -8.959057e+01
8.711634479739e+02, -8.859104e+01
8.716343982536e+02, -8.894548e+01
8.721053485333e+02, -8.768372e+01
8.725762988130e+02, -8.725592e+01
8.730472490927e+02, -8.750099e+01
8.735181993724e+02, -8.830984e+01
8.739891496521e+02, -8.801655e+01
8.744600999319e+02, -8.735514e+01
8.749310502116e+02, -8.690510e+01
8.754020004913e+02, -8.659394e+01
8.758729507710e+02, -8.687820e+01
8.763439010507e+02, -8.670330e+01
8.768148513304e+02, -8.695979e+01
8.772858016101e+02, -8.838051e+01
8.777567518898e+02, -8.950178e+01
8.782277021695e+02, -8.877491e+01
8.786986524492e+02, -8.732903e+01
8.791696027289e+02, -8.692901e+01
8.796405530086e+02, -8.754322e+01
8.801115032883e+02, -8.874624e+01
8.805824535680e+02, -8.856770e+01
8.810534038477e+02, -8.721084e+01
8.815243541275e+02, -8.694420e+01
8.819953044072e+02, -8.517645e+01
8.824662546869e+02, -8.457260e+01
8.829372049666e+02, -8.463564e+01
8.834081552463e+02, -8.533919e+01
8.838791055260e+02, -8.607861e+01
8.843500558057e+02, -8.583747e+01
8.848210060854e+02, -8.587125e+01
8.852919563651e+02, -8.478128e+01
8.857629066448e+02, -8.438322e+01
8.862338569245e+02, -8.394141e+01
8.867048072042e+02, -8.395943e+01
8.871757574839e+02, -8.453821e+01
8.876467077636e+02, -8.556875e+01
8.881176580433e+02, -8.655954e+01
8.885886083231e+02, -8.678827e+01
8.890595586028e+02, -8.498326e+01
8.895305088825e+02, -8.461791e+01
8.900014591622e+02, -8.496925e+01
8.904724094419e+02, -8.487327e+01
8.909433597216e+02, -8.581658e+01
8.914143100013e+02, -8.731879e+01
8.918852602810e+02, -8.975223e+01
8.923562105607e+02, -8.983484e+01
8.928271608404e+02, -9.041254e+01
8.932981111201e+02, -9.083104e+01
8.937690613998e+02, -8.919262e+01
8.942400116795e+02, -8.889866e+01
8.947109619592e+02, -8.858644e+01
8.951819122390e+02, -8.828867e+01
8.956528625187e+02, -8.729829e+01
8.961238127984e+02, -8.614916e+01
8.965947630781e+02, -8.583754e+01
8.970657133578e+02, -8.634505e+01
8.975366636375e+02, -8.789499e+01
8.980076139172e+02, -8.735493e+01
8.984785641969e+02, -8.653940e+01
8.989495144766e+02, -8.533620e+01
8.994204647563e+02, -8.483368e+01
8.998914150360e+02, -8.418712e+01
9.003623653157e+02, -8.317869e+01
9.008333155954e+02, -8.278030e+01
9.013042658751e+02, -8.341107e+01
9.017752161548e+02, -8.496663e+01
9.022461664346e+02, -8.768288e+01
9.027171167143e+02, -8.731259e+01
9.031880669940e+02, -8.622091e+01
9.036590172737e+02, -8.626970e+01
9.041299675534e+02, -8.683106e+01
9.046009178331e+02, -8.711456e+01
9.050718681128e+02, -8.763457e+01
9.055428183925e+02, -8.867925e+01
9.060137686722e+02, -8.955286e+01
9.064847189519e+02, -9.005420e+01
9.069556692316e+02, -9.047310e+01
9.074266195113e+02, -9.032495e+01
9.078975697910e+02, -9.011315e+01
9.083685200707e+02, -9.033260e+01
9.088394703504e+02, -8.920186e+01
9.093104206302e+02, -8.914368e+01
9.097813709099e+02, -8.853252e+01
9.102523211896e+02, -8.832266e+01
9.107232714693e+02, -8.939362e+01
9.111942217490e+02, -8.942971e+01
9.116651720287e+02, -8.956638e+01
9.121361223084e+02, -8.880672e+01
9.126070725881e+02, -8.841054e+01
9.130780228678e+02, -8.686196e+01
9.135489731475e+02, -8.604503e+01
9.140199234272e+02, -8.596750e+01
9.144908737069e+02, -8.714754e+01
9.149618239866e+02, -8.607828e+01
9.154327742663e+02, -8.633642e+01
9.159037245460e+02, -8.652818e+01
9.163746748258e+02, -8.640501e+01
9.168456251055e+02, -8.730781e+01
9.173165753852e+02, -8.605926e+01
9.177875256649e+02, -8.561152e+01
9.182584759446e+02, -8.562406e+01
9.187294262243e+02, -8.615698e+01
9.192003765040e+02, -8.681313e+01
9.196713267837e+02, -8.699933e+01
9.201422770634e+02, -8.771606e+01
9.206132273431e+02, -8.721171e+01
9.210841776228e+02, -8.673038e+01
9.215551279025e+02, -8.682701e+01
9.220260781822e+02, -8.732181e+01
9.224970284619e+02, -8.832943e+01
9.229679787417e+02, -8.689492e+01
9.234389290214e+02, -8.619763e+01
