% Moku:Go Spectrum Analyzer
% Input A (on)
% Input B (off)
% Start freq 0 Hz, stop freq 1.000 kHz, RBW 4.888 Hz (Auto mode), Hann window, Video filter off
% Averaging: 2 spectra per frame, 15 frame averages
% 
% Acquired 2026-04-30 T 16:03:11 +0200
% Frequency (Hz), Input A (dBm)
-3.570069869359e-01, -1.820045e+01
6.364037593206e-01, -1.834732e+01
1.629814505577e+00, -1.955754e+01
2.623225251834e+00, -2.192866e+01
3.616635998090e+00, -2.569668e+01
4.610046744347e+00, -3.141780e+01
5.603457490603e+00, -4.087665e+01
6.596868236860e+00, -6.585393e+01
7.590278983116e+00, -4.963952e+01
8.583689729373e+00, -5.275208e+01
9.577100475629e+00, -6.808996e+01
1.057051122189e+01, -6.099377e+01
1.156392196814e+01, -6.027331e+01
1.255733271440e+01, -6.832912e+01
1.355074346066e+01, -6.990131e+01
1.454415420691e+01, -6.637311e+01
1.553756495317e+01, -6.931129e+01
1.653097569942e+01, -7.138437e+01
1.752438644568e+01, -6.834866e+01
1.851779719194e+01, -6.910180e+01
1.951120793819e+01, -7.063794e+01
2.050461868445e+01, -7.074393e+01
2.149802943071e+01, -7.104804e+01
2.249144017696e+01, -7.170314e+01
2.348485092322e+01, -7.130400e+01
2.447826166948e+01, -7.148117e+01
2.547167241573e+01, -7.170354e+01
2.646508316199e+01, -7.115480e+01
2.745849390825e+01, -7.081489e+01
2.845190465450e+01, -7.090455e+01
2.944531540076e+01, -7.136013e+01
3.043872614702e+01, -7.219957e+01
3.143213689327e+01, -7.276009e+01
3.242554763953e+01, -7.292488e+01
3.341895838579e+01, -7.297225e+01
3.441236913204e+01, -7.250668e+01
3.540577987830e+01, -7.181812e+01
3.639919062455e+01, -7.168776e+01
3.739260137081e+01, -7.179777e+01
3.838601211707e+01, -7.137786e+01
3.937942286332e+01, -7.192980e+01
4.037283360958e+01, -7.287190e+01
4.136624435584e+01, -6.817807e+01
4.235965510209e+01, -6.441349e+01
4.335306584835e+01, -6.996286e+01
4.434647659461e+01, -5.987591e+01
4.533988734086e+01, -4.896764e+01
4.633329808712e+01, -4.272671e+01
4.732670883338e+01, -3.865374e+01
4.832011957963e+01, -3.605656e+01
4.931353032589e+01, -3.465487e+01
5.030694107215e+01, -3.432888e+01
5.130035181840e+01, -3.505185e+01
5.229376256466e+01, -3.687819e+01
5.328717331092e+01, -3.996530e+01
5.428058405717e+01, -4.467349e+01
5.527399480343e+01, -5.193497e+01
5.626740554969e+01, -6.588602e+01
5.726081629594e+01, -6.744557e+01
5.825422704220e+01, -6.671747e+01
5.924763778845e+01, -7.102303e+01
6.024104853471e+01, -7.030219e+01
6.123445928097e+01, -6.906499e+01
6.222787002722e+01, -7.012153e+01
6.322128077348e+01, -7.150872e+01
6.421469151974e+01, -7.189256e+01
6.520810226599e+01, -7.211572e+01
6.620151301225e+01, -7.211349e+01
6.719492375851e+01, -7.194537e+01
6.818833450476e+01, -7.206568e+01
6.918174525102e+01, -7.227114e+01
7.017515599728e+01, -7.238616e+01
7.116856674353e+01, -7.254693e+01
7.216197748979e+01, -7.268958e+01
7.315538823605e+01, -7.324247e+01
7.414879898230e+01, -7.363017e+01
7.514220972856e+01, -7.357377e+01
7.613562047482e+01, -7.328518e+01
7.712903122107e+01, -7.290130e+01
7.812244196733e+01, -7.256353e+01
7.911585271358e+01, -7.237201e+01
8.010926345984e+01, -7.209507e+01
8.110267420610e+01, -7.193924e+01
8.209608495235e+01, -7.167245e+01
8.308949569861e+01, -7.185097e+01
8.408290644487e+01, -7.240213e+01
8.507631719112e+01, -7.337550e+01
8.606972793738e+01, -7.398653e+01
8.706313868364e+01, -7.401739e+01
8.805654942989e+01, -7.410349e+01
8.904996017615e+01, -7.442494e+01
9.004337092241e+01, -7.337094e+01
9.103678166866e+01, -7.229639e+01
9.203019241492e+01, -7.201997e+01
9.302360316118e+01, -7.210258e+01
9.401701390743e+01, -7.183260e+01
9.501042465369e+01, -7.137354e+01
9.600383539995e+01, -6.921817e+01
9.699724614620e+01, -6.401164e+01
9.799065689246e+01, -6.066648e+01
9.898406763872e+01, -5.866752e+01
9.997747838497e+01, -5.780348e+01
1.009708891312e+02, -5.799973e+01
1.019642998775e+02, -5.926288e+01
1.029577106237e+02, -6.166109e+01
1.039511213700e+02, -6.518133e+01
1.049445321163e+02, -6.827448e+01
1.059379428625e+02, -6.993462e+01
1.069313536088e+02, -7.040616e+01
1.079247643550e+02, -7.095653e+01
1.089181751013e+02, -7.164995e+01
1.099115858475e+02, -7.211686e+01
1.109049965938e+02, -7.188928e+01
1.118984073400e+02, -7.167310e+01
1.128918180863e+02, -7.172654e+01
1.138852288326e+02, -7.195043e+01
1.148786395788e+02, -7.220095e+01
1.158720503251e+02, -7.279925e+01
1.168654610713e+02, -7.154077e+01
1.178588718176e+02, -7.095091e+01
1.188522825638e+02, -7.097142e+01
1.198456933101e+02, -7.139411e+01
1.208391040564e+02, -7.205533e+01
1.218325148026e+02, -7.271546e+01
1.228259255489e+02, -7.316690e+01
1.238193362951e+02, -7.334351e+01
1.248127470414e+02, -7.347693e+01
1.258061577876e+02, -7.350881e+01
1.267995685339e+02, -7.334276e+01
1.277929792802e+02, -7.315814e+01
1.287863900264e+02, -7.324647e+01
1.297798007727e+02, -7.342080e+01
1.307732115189e+02, -7.336686e+01
1.317666222652e+02, -7.308175e+01
1.327600330114e+02, -7.313143e+01
1.337534437577e+02, -7.325548e+01
1.347468545039e+02, -7.346612e+01
1.357402652502e+02, -7.353473e+01
1.367336759965e+02, -7.329329e+01
1.377270867427e+02, -7.277621e+01
1.387204974890e+02, -7.226759e+01
1.397139082352e+02, -7.216051e+01
1.407073189815e+02, -7.216287e+01
1.417007297277e+02, -7.207752e+01
1.426941404740e+02, -7.225792e+01
1.436875512203e+02, -7.269174e+01
1.446809619665e+02, -7.342350e+01
1.456743727128e+02, -7.365178e+01
1.466677834590e+02, -7.289548e+01
1.476611942053e+02, -7.081252e+01
1.486546049515e+02, -6.911597e+01
1.496480156978e+02, -6.826390e+01
1.506414264441e+02, -6.840837e+01
1.516348371903e+02, -6.950439e+01
1.526282479366e+02, -7.087614e+01
1.536216586828e+02, -7.133936e+01
1.546150694291e+02, -7.066145e+01
1.556084801753e+02, -7.078862e+01
1.566018909216e+02, -7.047403e+01
1.575953016678e+02, -6.913522e+01
1.585887124141e+02, -6.864631e+01
1.595821231604e+02, -7.037179e+01
1.605755339066e+02, -5.990345e+01
1.615689446529e+02, -5.179750e+01
1.625623553991e+02, -4.660880e+01
1.635557661454e+02, -4.316612e+01
1.645491768916e+02, -4.103968e+01
1.655425876379e+02, -4.003828e+01
1.665359983842e+02, -4.008829e+01
1.675294091304e+02, -4.119670e+01
1.685228198767e+02, -4.345575e+01
1.695162306229e+02, -4.709429e+01
1.705096413692e+02, -5.265387e+01
1.715030521154e+02, -6.185113e+01
1.724964628617e+02, -7.351014e+01
1.734898736080e+02, -6.877830e+01
1.744832843542e+02, -6.993901e+01
1.754766951005e+02, -7.174648e+01
1.764701058467e+02, -7.256342e+01
1.774635165930e+02, -7.282599e+01
1.784569273392e+02, -7.329662e+01
1.794503380855e+02, -7.330259e+01
1.804437488317e+02, -7.326106e+01
1.814371595780e+02, -7.290078e+01
1.824305703243e+02, -7.288173e+01
1.834239810705e+02, -7.334747e+01
1.844173918168e+02, -7.356285e+01
1.854108025630e+02, -7.292570e+01
1.864042133093e+02, -7.221351e+01
1.873976240555e+02, -7.179036e+01
1.883910348018e+02, -7.189410e+01
1.893844455481e+02, -7.237318e+01
1.903778562943e+02, -7.303428e+01
1.913712670406e+02, -7.424444e+01
1.923646777868e+02, -7.411845e+01
1.933580885331e+02, -7.349347e+01
1.943514992793e+02, -7.286270e+01
1.953449100256e+02, -7.232165e+01
1.963383207719e+02, -7.215575e+01
1.973317315181e+02, -7.170846e+01
1.983251422644e+02, -7.046334e+01
1.993185530106e+02, -6.985254e+01
2.003119637569e+02, -7.025798e+01
2.013053745031e+02, -7.008581e+01
2.022987852494e+02, -7.043198e+01
2.032921959956e+02, -7.156792e+01
2.042856067419e+02, -7.218322e+01
2.052790174882e+02, -7.209513e+01
2.062724282344e+02, -7.215343e+01
2.072658389807e+02, -7.251747e+01
2.082592497269e+02, -7.286743e+01
2.092526604732e+02, -7.268646e+01
2.102460712194e+02, -7.244167e+01
2.112394819657e+02, -7.213839e+01
2.122328927120e+02, -7.211543e+01
2.132263034582e+02, -7.231202e+01
2.142197142045e+02, -7.221455e+01
2.152131249507e+02, -7.249811e+01
2.162065356970e+02, -7.319593e+01
2.171999464432e+02, -7.337300e+01
2.181933571895e+02, -7.314357e+01
2.191867679358e+02, -7.277383e+01
2.201801786820e+02, -7.244142e+01
2.211735894283e+02, -7.175394e+01
2.221670001745e+02, -7.114144e+01
2.231604109208e+02, -7.091030e+01
2.241538216670e+02, -7.099379e+01
2.251472324133e+02, -7.138968e+01
2.261406431595e+02, -7.232841e+01
2.271340539058e+02, -7.305539e+01
2.281274646521e+02, -7.322808e+01
2.291208753983e+02, -7.264682e+01
2.301142861446e+02, -7.201021e+01
2.311076968908e+02, -7.174242e+01
2.321011076371e+02, -7.199052e+01
2.330945183833e+02, -7.195191e+01
2.340879291296e+02, -7.207484e+01
2.350813398759e+02, -7.293176e+01
2.360747506221e+02, -7.376447e+01
2.370681613684e+02, -7.362627e+01
2.380615721146e+02, -7.341511e+01
2.390549828609e+02, -7.331415e+01
2.400483936071e+02, -7.304009e+01
2.410418043534e+02, -7.262024e+01
2.420352150997e+02, -7.260024e+01
2.430286258459e+02, -7.269169e+01
2.440220365922e+02, -7.338005e+01
2.450154473384e+02, -7.381901e+01
2.460088580847e+02, -6.986649e+01
2.470022688309e+02, -6.479835e+01
2.479956795772e+02, -6.102609e+01
2.489890903234e+02, -5.860949e+01
2.499825010697e+02, -5.734431e+01
2.509759118160e+02, -5.712950e+01
2.519693225622e+02, -5.794052e+01
2.529627333085e+02, -5.981975e+01
2.539561440547e+02, -6.286948e+01
2.549495548010e+02, -6.714112e+01
2.559429655472e+02, -7.139770e+01
2.569363762935e+02, -7.284405e+01
2.579297870398e+02, -7.240547e+01
2.589231977860e+02, -7.173067e+01
2.599166085323e+02, -7.148903e+01
2.609100192785e+02, -7.167379e+01
2.619034300248e+02, -7.211267e+01
2.628968407710e+02, -7.234748e+01
2.638902515173e+02, -7.273964e+01
2.648836622636e+02, -7.351009e+01
2.658770730098e+02, -7.442649e+01
2.668704837561e+02, -7.478671e+01
2.678638945023e+02, -7.512985e+01
2.688573052486e+02, -7.573247e+01
2.698507159948e+02, -7.652997e+01
2.708441267411e+02, -7.634417e+01
2.718375374873e+02, -7.575021e+01
2.728309482336e+02, -7.484449e+01
2.738243589799e+02, -7.380305e+01
2.748177697261e+02, -7.282469e+01
2.758111804724e+02, -7.239136e+01
2.768045912186e+02, -7.249960e+01
2.777980019649e+02, -7.310295e+01
2.787914127111e+02, -7.273996e+01
2.797848234574e+02, -7.310910e+01
2.807782342037e+02, -7.416442e+01
2.817716449499e+02, -7.469917e+01
2.827650556962e+02, -7.413273e+01
2.837584664424e+02, -7.364598e+01
2.847518771887e+02, -7.344999e+01
2.857452879349e+02, -7.360911e+01
2.867386986812e+02, -7.364520e+01
2.877321094275e+02, -7.326713e+01
2.887255201737e+02, -7.312670e+01
2.897189309200e+02, -7.308646e+01
2.907123416662e+02, -7.296643e+01
2.917057524125e+02, -7.253522e+01
2.926991631587e+02, -7.188719e+01
2.936925739050e+02, -7.143252e+01
2.946859846512e+02, -7.147405e+01
2.956793953975e+02, -7.206449e+01
2.966728061438e+02, -7.263267e+01
2.976662168900e+02, -7.269631e+01
2.986596276363e+02, -7.246810e+01
2.996530383825e+02, -7.168282e+01
3.006464491288e+02, -7.122534e+01
3.016398598750e+02, -7.123032e+01
3.026332706213e+02, -7.167688e+01
3.036266813676e+02, -7.248222e+01
3.046200921138e+02, -7.325467e+01
3.056135028601e+02, -7.337528e+01
3.066069136063e+02, -7.377383e+01
3.076003243526e+02, -7.390595e+01
3.085937350988e+02, -7.385867e+01
3.095871458451e+02, -7.401802e+01
3.105805565914e+02, -7.433050e+01
3.115739673376e+02, -7.469994e+01
3.125673780839e+02, -7.408793e+01
3.135607888301e+02, -7.317057e+01
3.145541995764e+02, -7.284222e+01
3.155476103226e+02, -7.296748e+01
3.165410210689e+02, -7.334074e+01
3.175344318151e+02, -7.381544e+01
3.185278425614e+02, -7.370875e+01
3.195212533077e+02, -7.365365e+01
3.205146640539e+02, -7.347880e+01
3.215080748002e+02, -7.319752e+01
3.225014855464e+02, -7.331140e+01
3.234948962927e+02, -7.330698e+01
3.244883070389e+02, -7.368744e+01
3.254817177852e+02, -7.459275e+01
3.264751285315e+02, -7.511083e+01
3.274685392777e+02, -7.442541e+01
3.284619500240e+02, -7.351547e+01
3.294553607702e+02, -7.265462e+01
3.304487715165e+02, -7.215201e+01
3.314421822627e+02, -7.210359e+01
3.324355930090e+02, -7.227598e+01
3.334290037553e+02, -7.260100e+01
3.344224145015e+02, -7.318703e+01
3.354158252478e+02, -7.345095e+01
3.364092359940e+02, -7.357887e+01
3.374026467403e+02, -7.373669e+01
3.383960574865e+02, -7.342557e+01
3.393894682328e+02, -7.337781e+01
3.403828789790e+02, -7.320092e+01
3.413762897253e+02, -7.304815e+01
3.423697004716e+02, -7.260427e+01
3.433631112178e+02, -7.254216e+01
3.443565219641e+02, -7.327423e+01
3.453499327103e+02, -7.453830e+01
3.463433434566e+02, -7.226991e+01
3.473367542028e+02, -6.791448e+01
3.483301649491e+02, -6.410978e+01
3.493235756954e+02, -6.177628e+01
3.503169864416e+02, -6.067877e+01
3.513103971879e+02, -6.068945e+01
3.523038079341e+02, -6.178579e+01
3.532972186804e+02, -6.402768e+01
3.542906294266e+02, -6.751487e+01
3.552840401729e+02, -7.136003e+01
3.562774509192e+02, -7.322690e+01
3.572708616654e+02, -7.395330e+01
3.582642724117e+02, -7.311586e+01
3.592576831579e+02, -7.306459e+01
3.602510939042e+02, -7.353575e+01
3.612445046504e+02, -7.383447e+01
3.622379153967e+02, -7.418547e+01
3.632313261429e+02, -7.428698e+01
3.642247368892e+02, -7.441374e+01
3.652181476355e+02, -7.471380e+01
3.662115583817e+02, -7.523896e+01
3.672049691280e+02, -7.557023e+01
3.681983798742e+02, -7.563177e+01
3.691917906205e+02, -7.534298e+01
3.701852013667e+02, -7.495799e+01
3.711786121130e+02, -7.488264e+01
3.721720228593e+02, -7.467538e+01
3.731654336055e+02, -7.358932e+01
3.741588443518e+02, -7.273388e+01
3.751522550980e+02, -7.245369e+01
3.761456658443e+02, -7.278430e+01
3.771390765905e+02, -7.353570e+01
3.781324873368e+02, -7.413598e+01
3.791258980831e+02, -7.466964e+01
3.801193088293e+02, -7.458946e+01
3.811127195756e+02, -7.391824e+01
3.821061303218e+02, -7.353488e+01
3.830995410681e+02, -7.340655e+01
3.840929518143e+02, -7.355415e+01
3.850863625606e+02, -7.397011e+01
3.860797733068e+02, -7.444122e+01
3.870731840531e+02, -7.414604e+01
3.880665947994e+02, -7.372352e+01
3.890600055456e+02, -7.364566e+01
3.900534162919e+02, -7.376702e+01
3.910468270381e+02, -7.402974e+01
3.920402377844e+02, -7.344297e+01
3.930336485306e+02, -7.377513e+01
3.940270592769e+02, -7.428802e+01
3.950204700232e+02, -7.440138e+01
3.960138807694e+02, -7.403052e+01
3.970072915157e+02, -7.313954e+01
3.980007022619e+02, -7.174190e+01
3.989941130082e+02, -7.030364e+01
3.999875237544e+02, -6.961091e+01
4.009809345007e+02, -6.979290e+01
4.019743452470e+02, -7.034863e+01
4.029677559932e+02, -7.163014e+01
4.039611667395e+02, -7.341805e+01
4.049545774857e+02, -7.472043e+01
4.059479882320e+02, -7.483180e+01
4.069413989782e+02, -7.486642e+01
4.079348097245e+02, -7.497564e+01
4.089282204707e+02, -7.466395e+01
4.099216312170e+02, -7.408113e+01
4.109150419633e+02, -7.328585e+01
4.119084527095e+02, -7.282282e+01
4.129018634558e+02, -7.283138e+01
4.138952742020e+02, -7.326666e+01
4.148886849483e+02, -7.392282e+01
4.158820956945e+02, -7.388219e+01
4.168755064408e+02, -7.379673e+01
4.178689171871e+02, -7.360558e+01
4.188623279333e+02, -7.337830e+01
4.198557386796e+02, -7.329645e+01
4.208491494258e+02, -7.377017e+01
4.218425601721e+02, -7.478590e+01
4.228359709183e+02, -7.528925e+01
4.238293816646e+02, -7.576273e+01
4.248227924109e+02, -7.615535e+01
4.258162031571e+02, -7.602921e+01
4.268096139034e+02, -7.565280e+01
4.278030246496e+02, -7.565629e+01
4.287964353959e+02, -7.551636e+01
4.297898461421e+02, -7.463331e+01
4.307832568884e+02, -7.394335e+01
4.317766676346e+02, -7.322629e+01
4.327700783809e+02, -7.311961e+01
4.337634891272e+02, -7.353329e+01
4.347568998734e+02, -7.420134e+01
4.357503106197e+02, -7.464910e+01
4.367437213659e+02, -7.479879e+01
4.377371321122e+02, -7.460035e+01
4.387305428584e+02, -7.461905e+01
4.397239536047e+02, -7.429257e+01
4.407173643510e+02, -7.379535e+01
4.417107750972e+02, -7.386411e+01
4.427041858435e+02, -7.436821e+01
4.436975965897e+02, -7.491739e+01
4.446910073360e+02, -7.466915e+01
4.456844180822e+02, -7.331542e+01
4.466778288285e+02, -7.035596e+01
4.476712395748e+02, -6.666061e+01
4.486646503210e+02, -6.377798e+01
4.496580610673e+02, -6.196080e+01
4.506514718135e+02, -6.118131e+01
4.516448825598e+02, -6.142711e+01
4.526382933060e+02, -6.274261e+01
4.536317040523e+02, -6.526359e+01
4.546251147985e+02, -6.890232e+01
4.556185255448e+02, -7.205749e+01
4.566119362911e+02, -7.406271e+01
