% Moku:Go Frequency Response Analyzer
% Measurement mode: In / Out (dB)
% Channel 1 (on), DC, 30 MHz, 1 MOhm, 10 Vpp, amplitude 100 mVpp (on), offset 0.000 0 V (off), phase 0.000 deg
% Channel 2 (off), DC, 30 MHz, 1 MOhm, 10 Vpp, amplitude 100 mVpp (on), offset 0.000 0 V (off), phase 0.000 deg
% Logarithmic sweep from 750.7100 Hz to 897.0110 Hz with 2,048 pts, dynamic amplitude mode off, measuring fundamental, delay compensation 935.0 ns (auto), normalization off
% Averaging time 1.00 us, 3 cycles; Settling time 10.0 us, 3 cycles
% 
% Acquired 2026-04-30 T 14:57:20 +0200
% Frequency (Hz), Channel 1 Magnitude (dB), Channel 1 Phase (deg)
8.00000000e+02, -4.7696e+00, -1.6157e+02
8.00028265e+02, -5.5185e+00, -1.1426e+02
8.00056531e+02, -1.3172e+01, -6.4926e+01
8.00084798e+02, -1.5324e+01, -2.3414e+02
8.00113067e+02, -7.0986e+00, -1.7399e+02
8.00141336e+02, -6.2427e+00, -1.2911e+02
8.00169606e+02, -1.1396e+01, -8.8198e+01
8.00197877e+02, -2.2165e+01, -1.8401e+02
8.00226150e+02, -1.0260e+01, -1.7893e+02
8.00254423e+02, -7.8952e+00, -1.4303e+02
8.00282697e+02, -9.7508e+00, -1.1470e+02
8.00310972e+02, -1.9331e+01, -1.0993e+02
8.00339249e+02, -1.2513e+01, -1.7679e+02
8.00367526e+02, -8.7715e+00, -1.4832e+02
8.00395804e+02, -9.7846e+00, -1.2687e+02
8.00424083e+02, -1.3985e+01, -1.2532e+02
8.00452364e+02, -1.5305e+01, -1.6215e+02
8.00480645e+02, -1.0692e+01, -1.5812e+02
8.00508927e+02, -9.3699e+00, -1.3723e+02
8.00537210e+02, -1.3041e+01, -1.2094e+02
8.00565495e+02, -1.4785e+01, -1.4955e+02
8.00593780e+02, -1.1384e+01, -1.5639e+02
8.00622066e+02, -1.0705e+01, -1.4197e+02
8.00650353e+02, -1.1032e+01, -1.3328e+02
8.00678642e+02, -1.4172e+01, -1.3612e+02
8.00706931e+02, -1.3076e+01, -1.5519e+02
8.00735221e+02, -1.0493e+01, -1.4886e+02
8.00763512e+02, -1.1511e+01, -1.3356e+02
8.00791805e+02, -1.2705e+01, -1.3718e+02
8.00820098e+02, -1.2553e+01, -1.4508e+02
8.00848392e+02, -1.1965e+01, -1.5048e+02
8.00876687e+02, -1.1020e+01, -1.4234e+02
8.00904984e+02, -1.2323e+01, -1.3555e+02
8.00933281e+02, -1.3321e+01, -1.4430e+02
8.00961579e+02, -1.1422e+01, -1.4955e+02
8.00989878e+02, -1.1842e+01, -1.4230e+02
8.01018179e+02, -1.1745e+01, -1.4059e+02
8.01046480e+02, -1.2023e+01, -1.4169e+02
8.01074782e+02, -1.2827e+01, -1.4313e+02
8.01103085e+02, -1.1102e+01, -1.4834e+02
8.01131390e+02, -1.1641e+01, -1.3349e+02
8.01159695e+02, -1.2640e+01, -1.3909e+02
8.01188001e+02, -1.1734e+01, -1.4650e+02
8.01216308e+02, -1.2537e+01, -1.4022e+02
8.01244617e+02, -1.1700e+01, -1.4393e+02
8.01272926e+02, -1.1307e+01, -1.4209e+02
8.01301236e+02, -1.2600e+01, -1.3911e+02
8.01329547e+02, -1.1431e+01, -1.4725e+02
8.01357860e+02, -1.1768e+01, -1.4350e+02
8.01386173e+02, -1.2414e+01, -1.3966e+02
8.01414487e+02, -1.1295e+01, -1.4563e+02
8.01442802e+02, -1.2560e+01, -1.3986e+02
8.01471118e+02, -1.1893e+01, -1.4451e+02
8.01499436e+02, -1.1231e+01, -1.4429e+02
8.01527754e+02, -1.0806e+01, -1.3798e+02
8.01556073e+02, -1.1492e+01, -1.4622e+02
8.01584393e+02, -1.1887e+01, -1.4374e+02
8.01612715e+02, -1.2101e+01, -1.4079e+02
8.01641037e+02, -1.1189e+01, -1.4563e+02
8.01669360e+02, -1.2232e+01, -1.3848e+02
8.01697684e+02, -1.1934e+01, -1.4359e+02
8.01726010e+02, -1.1566e+01, -1.4656e+02
8.01754336e+02, -1.2033e+01, -1.3160e+02
8.01782663e+02, -1.0816e+01, -1.5134e+02
8.01810991e+02, -1.3414e+01, -1.4521e+02
8.01839321e+02, -1.2112e+01, -1.3993e+02
8.01867651e+02, -1.1233e+01, -1.4549e+02
8.01895982e+02, -1.2157e+01, -1.3970e+02
8.01924314e+02, -1.1724e+01, -1.4305e+02
8.01952648e+02, -1.1433e+01, -1.4662e+02
8.01980982e+02, -1.1943e+01, -1.4060e+02
8.02009317e+02, -1.1446e+01, -1.4519e+02
8.02037654e+02, -1.1828e+01, -1.4375e+02
8.02065991e+02, -1.1622e+01, -1.3881e+02
8.02094329e+02, -1.1439e+01, -1.4529e+02
8.02122668e+02, -1.2051e+01, -1.4921e+02
8.02151009e+02, -1.1459e+01, -1.4314e+02
8.02179350e+02, -1.1638e+01, -1.4501e+02
8.02207692e+02, -1.2052e+01, -1.4040e+02
8.02236035e+02, -1.1460e+01, -1.4458e+02
8.02264380e+02, -1.1880e+01, -1.4347e+02
8.02292725e+02, -1.1201e+01, -1.4444e+02
8.02321071e+02, -1.1678e+01, -1.5300e+02
8.02349418e+02, -1.1859e+01, -1.4239e+02
8.02377767e+02, -1.1309e+01, -1.4288e+02
8.02406116e+02, -1.1544e+01, -1.4380e+02
8.02434466e+02, -1.1874e+01, -1.4131e+02
8.02462818e+02, -1.1243e+01, -1.4473e+02
8.02491170e+02, -1.1832e+01, -1.4271e+02
8.02519523e+02, -1.1735e+01, -1.4330e+02
8.02547877e+02, -1.1188e+01, -1.4470e+02
8.02576233e+02, -1.1812e+01, -1.4198e+02
8.02604589e+02, -1.1393e+01, -1.4434e+02
8.02632946e+02, -1.2099e+01, -1.3300e+02
8.02661305e+02, -1.1918e+01, -1.4105e+02
8.02689664e+02, -1.1320e+01, -1.4721e+02
8.02718024e+02, -1.1366e+01, -1.3178e+02
8.02746385e+02, -1.1074e+01, -1.5322e+02
8.02774748e+02, -1.0970e+01, -1.4388e+02
8.02803111e+02, -1.2016e+01, -1.4171e+02
8.02831475e+02, -1.1633e+01, -1.4583e+02
8.02859841e+02, -1.0252e+01, -1.3560e+02
8.02888207e+02, -1.1870e+01, -1.4057e+02
8.02916574e+02, -1.1326e+01, -1.4440e+02
8.02944943e+02, -1.1349e+01, -1.4263e+02
8.02973312e+02, -1.1766e+01, -1.4221e+02
8.03001682e+02, -1.0890e+01, -1.4497e+02
8.03030054e+02, -1.1990e+01, -1.4104e+02
8.03058426e+02, -1.1855e+01, -1.4223e+02
8.03086799e+02, -1.0829e+01, -1.4507e+02
8.03115174e+02, -1.1659e+01, -1.4100e+02
8.03143549e+02, -1.1247e+01, -1.4435e+02
8.03171925e+02, -1.1237e+01, -1.4422e+02
8.03200303e+02, -1.1539e+01, -1.4058e+02
8.03228681e+02, -1.0752e+01, -1.4506e+02
8.03257060e+02, -1.1589e+01, -1.4112e+02
8.03285441e+02, -1.1545e+01, -1.4090e+02
8.03313822e+02, -1.1132e+01, -1.4548e+02
8.03342204e+02, -1.2043e+01, -1.5989e+02
8.03370588e+02, -1.1056e+01, -1.4442e+02
8.03398972e+02, -1.1231e+01, -1.4452e+02
8.03427357e+02, -1.1383e+01, -1.4074e+02
8.03455744e+02, -1.0845e+01, -1.4131e+02
8.03484131e+02, -1.1374e+01, -1.4182e+02
8.03512519e+02, -1.1026e+01, -1.4137e+02
8.03540909e+02, -1.2762e+01, -1.3589e+02
8.03569299e+02, -8.8677e+00, -1.4278e+02
8.03597691e+02, -1.1072e+01, -1.4400e+02
8.03626083e+02, -1.1507e+01, -1.4372e+02
8.03654476e+02, -1.1376e+01, -1.4190e+02
8.03682871e+02, -1.0863e+01, -1.4417e+02
8.03711266e+02, -1.1467e+01, -1.4205e+02
8.03739663e+02, -1.1067e+01, -1.4441e+02
8.03768060e+02, -1.3280e+01, -1.4753e+02
8.03796458e+02, -1.1723e+01, -1.4319e+02
8.03824858e+02, -1.1785e+01, -1.5880e+02
8.03853258e+02, -9.9333e+00, -1.4294e+02
8.03881660e+02, -1.1626e+01, -1.4189e+02
8.03910062e+02, -1.0598e+01, -1.4454e+02
8.03938465e+02, -1.1417e+01, -1.4179e+02
8.03966870e+02, -1.1533e+01, -1.4454e+02
8.03995275e+02, -1.0421e+01, -1.4475e+02
8.04023682e+02, -1.1709e+01, -1.3995e+02
8.04052089e+02, -1.0666e+01, -1.5696e+02
8.04080497e+02, -1.0555e+01, -1.4385e+02
8.04108907e+02, -1.1424e+01, -1.4048e+02
8.04137317e+02, -1.0548e+01, -1.4498e+02
8.04165729e+02, -1.1238e+01, -1.4258e+02
8.04194141e+02, -1.1583e+01, -1.4161e+02
8.04222555e+02, -1.0477e+01, -1.4608e+02
8.04250969e+02, -1.1533e+01, -1.4302e+02
8.04279385e+02, -1.1021e+01, -1.4285e+02
8.04307801e+02, -1.0774e+01, -1.4640e+02
8.04336219e+02, -1.3910e+01, -1.3670e+02
8.04364637e+02, -1.0591e+01, -1.4425e+02
8.04393057e+02, -1.1013e+01, -1.4493e+02
8.04421477e+02, -1.1122e+01, -1.4044e+02
8.04449898e+02, -1.0688e+01, -1.4559e+02
8.04478321e+02, -1.1210e+01, -1.4111e+02
