% Moku:Go Oscilloscope
% Channel A (on)
% Channel B (off)
% Time span 1.000 ms, time offset 0.000 s, Normal acquisition mode, no averaging
% Edge trigger: Channel A, level 0.000 V, Auto mode, Rising edge, Auto sensitivity, noise reject off, HF reject off
% Output A (off) - Sine, 10.000 000 000 000 MHz, 1.000 0 Vpp, offset 0.000 0 V, phase 0.000 000 deg
% Output B (off) - Square, 50.000 000 000 kHz, 500.0 mVpp, offset 0.000 0 V, phase 0.000 000 deg, duty cycle 50.00 %
% 
% Acquired 2026-04-30 T 13:57:31 +0200
% Time (s), Channel A (Input A) (V)
-4.995360000000e-04, -1.221300e-03
-4.984800000000e-04, -1.221300e-03
-4.974240000000e-04, -1.221300e-03
-4.963680000000e-04, 0.000000e+00
-4.953120000000e-04, -1.221300e-03
-4.942560000000e-04, -1.221300e-03
-4.932000000000e-04, -1.221300e-03
-4.921440000000e-04, -1.221300e-03
-4.910880000000e-04, -2.442599e-03
-4.900320000000e-04, -2.442599e-03
-4.889760000000e-04, -1.221300e-03
-4.879200000000e-04, -1.221300e-03
-4.868640000000e-04, -1.221300e-03
-4.858080000000e-04, -1.221300e-03
-4.847520000000e-04, -2.442599e-03
-4.836960000000e-04, -1.221300e-03
-4.826400000000e-04, -1.221300e-03
-4.815840000000e-04, -1.221300e-03
-4.805280000000e-04, -1.221300e-03
-4.794720000000e-04, -2.442599e-03
-4.784160000000e-04, -1.221300e-03
-4.773600000000e-04, -1.221300e-03
-4.763040000000e-04, -1.221300e-03
-4.752480000000e-04, -1.221300e-03
-4.741920000000e-04, -1.221300e-03
-4.731360000000e-04, -1.221300e-03
-4.720800000000e-04, -1.221300e-03
-4.710240000000e-04, -1.221300e-03
-4.699680000000e-04, -1.221300e-03
-4.689120000000e-04, -1.221300e-03
-4.678560000000e-04, -1.221300e-03
-4.668000000000e-04, -1.221300e-03
-4.657440000000e-04, -2.442599e-03
-4.646880000000e-04, -1.221300e-03
-4.636320000000e-04, -1.221300e-03
-4.625760000000e-04, -1.221300e-03
-4.615200000000e-04, -1.221300e-03
-4.604640000000e-04, -1.221300e-03
-4.594080000000e-04, -1.221300e-03
-4.583520000000e-04, -1.221300e-03
-4.572960000000e-04, -1.221300e-03
-4.562400000000e-04, -1.221300e-03
-4.551840000000e-04, -1.221300e-03
-4.541280000000e-04, -1.221300e-03
-4.530720000000e-04, -1.221300e-03
-4.520160000000e-04, -1.221300e-03
-4.509600000000e-04, -1.221300e-03
-4.499040000000e-04, -2.442599e-03
-4.488480000000e-04, -1.221300e-03
-4.477920000000e-04, -1.221300e-03
-4.467360000000e-04, -1.221300e-03
-4.456800000000e-04, -1.221300e-03
-4.446240000000e-04, -1.221300e-03
-4.435680000000e-04, -1.221300e-03
-4.425120000000e-04, -1.221300e-03
-4.414560000000e-04, -1.221300e-03
-4.404000000000e-04, -2.442599e-03
-4.393440000000e-04, -1.221300e-03
-4.382880000000e-04, -1.221300e-03
-4.372320000000e-04, -1.221300e-03
-4.361760000000e-04, -2.442599e-03
-4.351200000000e-04, -1.221300e-03
-4.340640000000e-04, -1.221300e-03
-4.330080000000e-04, -1.221300e-03
-4.319520000000e-04, -1.221300e-03
-4.308960000000e-04, -1.221300e-03
-4.298400000000e-04, -1.221300e-03
-4.287840000000e-04, -1.221300e-03
-4.277280000000e-04, -1.221300e-03
-4.266720000000e-04, -1.221300e-03
-4.256160000000e-04, -1.221300e-03
-4.245600000000e-04, -1.221300e-03
-4.235040000000e-04, -1.221300e-03
-4.224480000000e-04, -1.221300e-03
-4.213920000000e-04, -1.221300e-03
-4.203360000000e-04, -1.221300e-03
-4.192800000000e-04, -1.221300e-03
-4.182240000000e-04, -1.221300e-03
-4.171680000000e-04, -1.221300e-03
-4.161120000000e-04, -1.221300e-03
-4.150560000000e-04, -1.221300e-03
-4.140000000000e-04, -1.221300e-03
-4.129440000000e-04, -1.221300e-03
-4.118880000000e-04, -1.221300e-03
-4.108320000000e-04, -1.221300e-03
-4.097760000000e-04, -1.221300e-03
-4.087200000000e-04, -2.442599e-03
-4.076640000000e-04, -1.221300e-03
-4.066080000000e-04, -1.221300e-03
-4.055520000000e-04, -1.221300e-03
-4.044960000000e-04, -1.221300e-03
-4.034400000000e-04, -1.221300e-03
-4.023840000000e-04, -1.221300e-03
-4.013280000000e-04, -2.442599e-03
-4.002720000000e-04, -1.221300e-03
-3.992160000000e-04, -1.221300e-03
-3.981600000000e-04, -1.221300e-03
-3.971040000000e-04, -1.221300e-03
-3.960480000000e-04, -1.221300e-03
-3.949920000000e-04, -2.442599e-03
-3.939360000000e-04, -1.221300e-03
-3.928800000000e-04, -1.221300e-03
-3.918240000000e-04, -1.221300e-03
-3.907680000000e-04, -1.221300e-03
-3.897120000000e-04, -1.221300e-03
-3.886560000000e-04, -1.221300e-03
-3.876000000000e-04, -1.221300e-03
-3.865440000000e-04, -1.221300e-03
-3.854880000000e-04, -1.221300e-03
-3.844320000000e-04, -2.442599e-03
-3.833760000000e-04, -1.221300e-03
-3.823200000000e-04, -2.442599e-03
-3.812640000000e-04, -1.221300e-03
-3.802080000000e-04, -1.221300e-03
-3.791520000000e-04, -2.442599e-03
-3.780960000000e-04, -1.221300e-03
-3.770400000000e-04, -1.221300e-03
-3.759840000000e-04, -2.442599e-03
-3.749280000000e-04, -1.221300e-03
-3.738720000000e-04, -2.442599e-03
-3.728160000000e-04, -1.221300e-03
-3.717600000000e-04, -1.221300e-03
-3.707040000000e-04, -1.221300e-03
-3.696480000000e-04, -2.442599e-03
-3.685920000000e-04, -2.442599e-03
-3.675360000000e-04, -2.442599e-03
-3.664800000000e-04, -2.442599e-03
-3.654240000000e-04, -1.221300e-03
-3.643680000000e-04, -1.221300e-03
-3.633120000000e-04, -1.221300e-03
-3.622560000000e-04, -1.221300e-03
-3.612000000000e-04, -1.221300e-03
-3.601440000000e-04, -2.442599e-03
-3.590880000000e-04, -1.221300e-03
-3.580320000000e-04, -1.221300e-03
-3.569760000000e-04, -2.442599e-03
-3.559200000000e-04, -1.221300e-03
-3.548640000000e-04, -1.221300e-03
-3.538080000000e-04, -1.221300e-03
-3.527520000000e-04, -2.442599e-03
-3.516960000000e-04, -1.221300e-03
-3.506400000000e-04, -2.442599e-03
-3.495840000000e-04, -1.221300e-03
-3.485280000000e-04, -1.221300e-03
-3.474720000000e-04, -1.221300e-03
-3.464160000000e-04, -1.221300e-03
-3.453600000000e-04, -1.221300e-03
-3.443040000000e-04, -1.221300e-03
-3.432480000000e-04, -1.221300e-03
-3.421920000000e-04, -2.442599e-03
-3.411360000000e-04, -1.221300e-03
-3.400800000000e-04, -1.221300e-03
-3.390240000000e-04, -1.221300e-03
-3.379680000000e-04, -2.442599e-03
-3.369120000000e-04, -2.442599e-03
-3.358560000000e-04, -1.221300e-03
-3.348000000000e-04, -1.221300e-03
-3.337440000000e-04, -1.221300e-03
-3.326880000000e-04, -1.221300e-03
-3.316320000000e-04, -1.221300e-03
-3.305760000000e-04, -1.221300e-03
-3.295200000000e-04, -1.221300e-03
-3.284640000000e-04, -1.221300e-03
-3.274080000000e-04, -2.442599e-03
-3.263520000000e-04, -1.221300e-03
-3.252960000000e-04, -2.442599e-03
-3.242400000000e-04, -1.221300e-03
-3.231840000000e-04, -2.442599e-03
-3.221280000000e-04, -1.221300e-03
-3.210720000000e-04, -1.221300e-03
-3.200160000000e-04, -1.221300e-03
-3.189600000000e-04, -1.221300e-03
-3.179040000000e-04, -1.221300e-03
-3.168480000000e-04, -1.221300e-03
-3.157920000000e-04, -1.221300e-03
-3.147360000000e-04, -1.221300e-03
-3.136800000000e-04, -1.221300e-03
-3.126240000000e-04, -1.221300e-03
-3.115680000000e-04, -2.442599e-03
-3.105120000000e-04, -2.442599e-03
-3.094560000000e-04, -1.221300e-03
-3.084000000000e-04, -1.221300e-03
-3.073440000000e-04, -1.221300e-03
-3.062880000000e-04, -1.221300e-03
-3.052320000000e-04, -1.221300e-03
-3.041760000000e-04, -1.221300e-03
-3.031200000000e-04, -1.221300e-03
-3.020640000000e-04, -2.442599e-03
-3.010080000000e-04, -1.221300e-03
-2.999520000000e-04, -1.221300e-03
-2.988960000000e-04, -2.442599e-03
-2.978400000000e-04, -2.442599e-03
-2.967840000000e-04, -1.221300e-03
-2.957280000000e-04, -1.221300e-03
-2.946720000000e-04, -1.221300e-03
-2.936160000000e-04, -1.221300e-03
-2.925600000000e-04, -1.221300e-03
-2.915040000000e-04, -1.221300e-03
-2.904480000000e-04, -2.442599e-03
-2.893920000000e-04, -2.442599e-03
-2.883360000000e-04, -1.221300e-03
-2.872800000000e-04, -1.221300e-03
-2.862240000000e-04, -1.221300e-03
-2.851680000000e-04, -1.221300e-03
-2.841120000000e-04, -1.221300e-03
-2.830560000000e-04, -1.221300e-03
-2.820000000000e-04, -1.221300e-03
-2.809440000000e-04, -1.221300e-03
-2.798880000000e-04, -1.221300e-03
-2.788320000000e-04, -1.221300e-03
-2.777760000000e-04, -1.221300e-03
-2.767200000000e-04, -2.442599e-03
-2.756640000000e-04, -1.221300e-03
-2.746080000000e-04, -2.442599e-03
-2.735520000000e-04, -1.221300e-03
-2.724960000000e-04, -1.221300e-03
-2.714400000000e-04, -2.442599e-03
-2.703840000000e-04, -2.442599e-03
-2.693280000000e-04, -1.221300e-03
-2.682720000000e-04, -1.221300e-03
-2.672160000000e-04, -1.221300e-03
-2.661600000000e-04, -1.221300e-03
-2.651040000000e-04, -1.221300e-03
-2.640480000000e-04, -2.442599e-03
-2.629920000000e-04, -1.221300e-03
-2.619360000000e-04, -1.221300e-03
