% Moku:Go Oscilloscope
% Channel A (Input 1, on), DC, 30 MHz, 1 MOhm, 10 Vpp, 1 x probe attenuation
% Channel B (Input 2, off), DC, 30 MHz, 1 MOhm, 10 Vpp, 1 x probe attenuation
% Time span 4.854 ms, time offset -7.124 ms, Normal acquisition mode, no averaging
% Edge trigger: Channel A, level 0.000 V, Auto mode, Rising edge, Auto sensitivity, noise reject off, HF reject off
% Output 1 (on) - Square, 164.000 000 Hz, 1.000 0 Vpp, offset 0.000 0 V, phase 0.000 000 deg, duty cycle 50.00 %
% Output 2 (off) - Square, 50.000 000 000 kHz, 500.0 mVpp, offset 0.000 0 V, phase 0.000 000 deg, duty cycle 50.00 %
% 
% Acquired 2026-04-30 T 15:53:54 +0200
% Time (s), Channel A (Input 1) (V)
4.696224000000e-03, -2.686859e-02
4.701216000000e-03, -2.808989e-02
4.706208000000e-03, -3.053249e-02
4.711200000000e-03, -3.297509e-02
4.716192000000e-03, -3.297509e-02
4.721184000000e-03, -3.541769e-02
4.726176000000e-03, -3.663899e-02
4.731168000000e-03, -3.786029e-02
4.736160000000e-03, -4.030288e-02
4.741152000000e-03, -4.030288e-02
4.746144000000e-03, -4.152418e-02
4.751136000000e-03, -4.274548e-02
4.756128000000e-03, -4.274548e-02
4.761120000000e-03, -4.518808e-02
4.766112000000e-03, -4.640938e-02
4.771104000000e-03, -4.763068e-02
4.776096000000e-03, -4.885198e-02
4.781088000000e-03, -5.007328e-02
4.786080000000e-03, -5.007328e-02
4.791072000000e-03, -5.129458e-02
4.796064000000e-03, -5.251588e-02
4.801056000000e-03, -5.251588e-02
4.806048000000e-03, -5.251588e-02
4.811040000000e-03, -5.373718e-02
4.816032000000e-03, -5.495848e-02
4.821024000000e-03, -5.617978e-02
4.826016000000e-03, -5.740108e-02
4.831008000000e-03, -5.617978e-02
4.836000000000e-03, -5.740108e-02
4.840992000000e-03, -5.740108e-02
4.845984000000e-03, -5.862238e-02
4.850976000000e-03, -5.984368e-02
4.855968000000e-03, -5.984368e-02
4.860960000000e-03, -6.106498e-02
4.865952000000e-03, -5.984368e-02
4.870944000000e-03, -5.984368e-02
4.875936000000e-03, -5.984368e-02
4.880928000000e-03, -5.984368e-02
4.885920000000e-03, -5.740108e-02
4.890912000000e-03, -5.740108e-02
4.895904000000e-03, -5.617978e-02
4.900896000000e-03, -5.617978e-02
4.905888000000e-03, -5.617978e-02
4.910880000000e-03, -5.495848e-02
4.915872000000e-03, -5.495848e-02
4.920864000000e-03, -5.495848e-02
4.925856000000e-03, -5.495848e-02
4.930848000000e-03, -5.373718e-02
4.935840000000e-03, -5.251588e-02
4.940832000000e-03, -5.251588e-02
4.945824000000e-03, -5.129458e-02
4.950816000000e-03, -5.129458e-02
4.955808000000e-03, -5.007328e-02
4.960800000000e-03, -5.007328e-02
4.965792000000e-03, -4.763068e-02
4.970784000000e-03, -4.640938e-02
4.975776000000e-03, -4.518808e-02
4.980768000000e-03, -4.396678e-02
4.985760000000e-03, -4.152418e-02
4.990752000000e-03, -4.152418e-02
4.995744000000e-03, -4.030288e-02
5.000736000000e-03, -3.908158e-02
5.005728000000e-03, -3.786029e-02
5.010720000000e-03, -3.786029e-02
5.015712000000e-03, -3.541769e-02
5.020704000000e-03, -3.419639e-02
5.025696000000e-03, -3.053249e-02
5.030688000000e-03, -3.053249e-02
5.035680000000e-03, -2.931119e-02
5.040672000000e-03, -2.686859e-02
5.045664000000e-03, -2.686859e-02
5.050656000000e-03, -2.320469e-02
5.055648000000e-03, -2.320469e-02
5.060640000000e-03, -2.076209e-02
5.065632000000e-03, -1.831949e-02
5.070624000000e-03, -1.709819e-02
5.075616000000e-03, -1.587689e-02
5.080608000000e-03, -1.343429e-02
5.085600000000e-03, -1.221300e-02
5.090592000000e-03, -9.770396e-03
5.095584000000e-03, -7.327797e-03
5.100576000000e-03, -4.885198e-03
5.105568000000e-03, -3.663899e-03
5.110560000000e-03, -2.442599e-03
5.115552000000e-03, 1.221300e-03
5.120544000000e-03, 3.663899e-03
5.125536000000e-03, 6.106498e-03
5.130528000000e-03, 7.327797e-03
5.135520000000e-03, 1.099170e-02
5.140512000000e-03, 1.343429e-02
5.145504000000e-03, 1.465559e-02
5.150496000000e-03, 1.709819e-02
5.155488000000e-03, 1.831949e-02
5.160480000000e-03, 2.076209e-02
5.165472000000e-03, 2.320469e-02
5.170464000000e-03, 2.442599e-02
5.175456000000e-03, 2.686859e-02
5.180448000000e-03, 2.931119e-02
5.185440000000e-03, 3.175379e-02
5.190432000000e-03, 3.297509e-02
5.195424000000e-03, 3.541769e-02
5.200416000000e-03, 3.786029e-02
5.205408000000e-03, 4.030288e-02
5.210400000000e-03, 4.152418e-02
5.215392000000e-03, 4.274548e-02
5.220384000000e-03, 4.396678e-02
5.225376000000e-03, 4.763068e-02
5.230368000000e-03, 5.007328e-02
5.235360000000e-03, 5.251588e-02
5.240352000000e-03, 5.495848e-02
5.245344000000e-03, 5.740108e-02
5.250336000000e-03, 5.862238e-02
5.255328000000e-03, 6.106498e-02
5.260320000000e-03, 6.350758e-02
5.265312000000e-03, 6.717147e-02
5.270304000000e-03, 6.717147e-02
5.275296000000e-03, 6.839277e-02
5.280288000000e-03, 6.961407e-02
5.285280000000e-03, 7.205667e-02
5.290272000000e-03, 7.449927e-02
5.295264000000e-03, 7.449927e-02
