% Moku:Go Spectrum Analyzer
% Input A (on)
% Input B (off)
% Start freq 10 Hz, stop freq 1.500 kHz, RBW 7.283 Hz (Auto mode), Hann window, Video filter off
% Averaging: 1 spectra per frame, 10 frame averages
% 
% Acquired 2026-04-30 T 13:55:01 +0200
% Frequency (Hz), Input A (dBm)
8.949196882664e+00, -7.013774e+01
1.046296563886e+01, -7.627210e+01
1.197673439506e+01, -7.594226e+01
1.349050315127e+01, -7.536335e+01
1.500427190747e+01, -7.620220e+01
1.651804066367e+01, -7.843681e+01
1.803180941987e+01, -8.156165e+01
1.954557817607e+01, -8.185617e+01
2.105934693227e+01, -7.954083e+01
2.257311568847e+01, -7.985975e+01
2.408688444467e+01, -7.865641e+01
2.560065320087e+01, -7.777847e+01
2.711442195707e+01, -7.773011e+01
2.862819071327e+01, -7.871092e+01
3.014195946947e+01, -7.833463e+01
3.165572822567e+01, -7.832950e+01
3.316949698187e+01, -7.918708e+01
3.468326573807e+01, -8.082396e+01
3.619703449427e+01, -8.282166e+01
3.771080325047e+01, -8.232654e+01
3.922457200667e+01, -8.193733e+01
4.073834076287e+01, -8.171788e+01
4.225210951907e+01, -8.071029e+01
4.376587827527e+01, -8.078445e+01
4.527964703147e+01, -8.213137e+01
4.679341578767e+01, -8.383936e+01
4.830718454387e+01, -8.099560e+01
4.982095330007e+01, -7.957984e+01
5.133472205628e+01, -7.924034e+01
5.284849081248e+01, -7.953711e+01
5.436225956868e+01, -8.038918e+01
5.587602832488e+01, -8.271981e+01
5.738979708108e+01, -8.377980e+01
5.890356583728e+01, -8.301683e+01
6.041733459348e+01, -8.138224e+01
6.193110334968e+01, -8.092266e+01
6.344487210588e+01, -8.137955e+01
6.495864086208e+01, -8.303443e+01
6.647240961828e+01, -8.393522e+01
6.798617837448e+01, -8.345268e+01
6.949994713068e+01, -8.374282e+01
7.101371588688e+01, -8.400691e+01
7.252748464308e+01, -8.420594e+01
7.404125339928e+01, -8.416598e+01
7.555502215548e+01, -8.357354e+01
7.706879091168e+01, -8.261510e+01
7.858255966788e+01, -8.109134e+01
8.009632842408e+01, -7.978765e+01
8.161009718028e+01, -7.917799e+01
8.312386593648e+01, -7.916662e+01
8.463763469268e+01, -7.984792e+01
8.615140344888e+01, -8.039642e+01
8.766517220508e+01, -8.065218e+01
8.917894096129e+01, -8.157944e+01
9.069270971749e+01, -8.428209e+01
9.220647847369e+01, -8.314656e+01
9.372024722989e+01, -8.409795e+01
9.523401598609e+01, -8.308743e+01
9.674778474229e+01, -8.293983e+01
9.826155349849e+01, -8.402184e+01
9.977532225469e+01, -8.521635e+01
1.012890910109e+02, -8.603874e+01
1.028028597671e+02, -8.501673e+01
1.043166285233e+02, -8.448981e+01
1.058303972795e+02, -8.449338e+01
1.073441660357e+02, -8.428859e+01
1.088579347919e+02, -8.467721e+01
1.103717035481e+02, -8.530495e+01
1.118854723043e+02, -8.679107e+01
1.133992410605e+02, -8.340763e+01
1.149130098167e+02, -8.210247e+01
1.164267785729e+02, -8.169601e+01
1.179405473291e+02, -8.177232e+01
1.194543160853e+02, -8.244940e+01
1.209680848415e+02, -8.381858e+01
1.224818535977e+02, -8.391279e+01
1.239956223539e+02, -8.455579e+01
1.255093911101e+02, -8.694510e+01
1.270231598663e+02, -8.907361e+01
1.285369286225e+02, -8.711054e+01
1.300506973787e+02, -8.849350e+01
1.315644661349e+02, -8.807552e+01
1.330782348911e+02, -8.664330e+01
1.345920036473e+02, -8.576162e+01
1.361057724035e+02, -8.465266e+01
1.376195411597e+02, -8.380248e+01
1.391333099159e+02, -8.385426e+01
1.406470786721e+02, -8.400749e+01
1.421608474283e+02, -8.424962e+01
1.436746161845e+02, -8.453645e+01
1.451883849407e+02, -8.431033e+01
1.467021536969e+02, -8.498571e+01
1.482159224531e+02, -8.562644e+01
1.497296912093e+02, -8.626990e+01
1.512434599655e+02, -8.438967e+01
1.527572287217e+02, -8.388566e+01
1.542709974779e+02, -8.408587e+01
1.557847662341e+02, -8.456770e+01
1.572985349903e+02, -8.498381e+01
1.588123037465e+02, -8.489170e+01
1.603260725027e+02, -8.524540e+01
1.618398412589e+02, -8.552923e+01
1.633536100151e+02, -8.588368e+01
1.648673787713e+02, -8.621666e+01
1.663811475275e+02, -8.710891e+01
1.678949162837e+02, -8.750975e+01
1.694086850399e+02, -8.722434e+01
1.709224537961e+02, -8.708924e+01
1.724362225523e+02, -8.610565e+01
1.739499913085e+02, -8.532767e+01
1.754637600647e+02, -8.600760e+01
1.769775288209e+02, -8.806583e+01
1.784912975771e+02, -8.716204e+01
