% Moku:Go Spectrum Analyzer
% Input A (on)
% Input B (off)
% Start freq 400 Hz, stop freq 1.076 kHz, RBW 3.304 Hz (Auto mode), Hann window, Video filter off
% Averaging: 2 spectra per frame, 15 frame averages
% 
% Acquired 2026-04-30 T 15:32:10 +0200
% Frequency (Hz), Input A (dBm)
3.998452383611e+02, -6.901530e+01
4.005075121919e+02, -6.860554e+01
4.011697860228e+02, -6.919313e+01
4.018320598536e+02, -7.080786e+01
4.024943336844e+02, -7.355318e+01
4.031566075153e+02, -7.761672e+01
4.038188813461e+02, -8.319019e+01
4.044811551770e+02, -8.788405e+01
4.051434290078e+02, -8.770833e+01
4.058057028386e+02, -8.691214e+01
4.064679766695e+02, -8.653112e+01
4.071302505003e+02, -8.636425e+01
4.077925243311e+02, -8.652789e+01
4.084547981620e+02, -8.700058e+01
4.091170719928e+02, -8.769845e+01
4.097793458237e+02, -8.826406e+01
4.104416196545e+02, -8.879025e+01
4.111038934853e+02, -8.909675e+01
4.117661673162e+02, -8.932935e+01
4.124284411470e+02, -8.923575e+01
4.130907149778e+02, -8.878357e+01
4.137529888087e+02, -8.806097e+01
4.144152626395e+02, -8.718346e+01
4.150775364704e+02, -8.680463e+01
4.157398103012e+02, -8.685926e+01
4.164020841320e+02, -8.674193e+01
4.170643579629e+02, -8.661470e+01
4.177266317937e+02, -8.676076e+01
4.183889056245e+02, -8.729437e+01
4.190511794554e+02, -8.784285e+01
4.197134532862e+02, -8.821926e+01
4.203757271171e+02, -8.819907e+01
4.210380009479e+02, -8.760903e+01
4.217002747787e+02, -8.736168e+01
4.223625486096e+02, -8.740001e+01
4.230248224404e+02, -8.782102e+01
4.236870962712e+02, -8.852549e+01
4.243493701021e+02, -8.917218e+01
4.250116439329e+02, -8.896132e+01
4.256739177638e+02, -8.798730e+01
4.263361915946e+02, -8.730192e+01
4.269984654254e+02, -8.691358e+01
4.276607392563e+02, -8.689259e+01
4.283230130871e+02, -8.728337e+01
4.289852869180e+02, -8.832569e+01
4.296475607488e+02, -8.762498e+01
4.303098345796e+02, -8.738200e+01
4.309721084105e+02, -8.761544e+01
4.316343822413e+02, -8.776681e+01
4.322966560721e+02, -8.788693e+01
4.329589299030e+02, -8.784684e+01
4.336212037338e+02, -8.743370e+01
4.342834775647e+02, -8.717250e+01
4.349457513955e+02, -8.700747e+01
4.356080252263e+02, -8.706294e+01
4.362702990572e+02, -8.757031e+01
4.369325728880e+02, -8.809827e+01
4.375948467188e+02, -8.846308e+01
4.382571205497e+02, -8.814857e+01
4.389193943805e+02, -8.722858e+01
4.395816682114e+02, -8.661039e+01
4.402439420422e+02, -8.650736e+01
4.409062158730e+02, -8.708149e+01
4.415684897039e+02, -8.792309e+01
4.422307635347e+02, -8.858507e+01
4.428930373655e+02, -8.857654e+01
4.435553111964e+02, -8.891281e+01
4.442175850272e+02, -8.876260e+01
4.448798588581e+02, -8.868575e+01
4.455421326889e+02, -8.861091e+01
4.462044065197e+02, -8.714007e+01
4.468666803506e+02, -7.926614e+01
4.475289541814e+02, -7.194481e+01
4.481912280122e+02, -6.700734e+01
4.488535018431e+02, -6.370845e+01
4.495157756739e+02, -6.167555e+01
4.501780495048e+02, -6.073414e+01
4.508403233356e+02, -6.081274e+01
4.515025971664e+02, -6.191549e+01
4.521648709973e+02, -6.412030e+01
4.528271448281e+02, -6.762025e+01
4.534894186589e+02, -7.283662e+01
4.541516924898e+02, -8.071063e+01
4.548139663206e+02, -8.656737e+01
4.554762401515e+02, -8.736850e+01
4.561385139823e+02, -8.764127e+01
4.568007878131e+02, -8.753265e+01
4.574630616440e+02, -8.700884e+01
4.581253354748e+02, -8.715150e+01
4.587876093056e+02, -8.779841e+01
4.594498831365e+02, -8.788702e+01
4.601121569673e+02, -8.787028e+01
4.607744307982e+02, -8.773161e+01
4.614367046290e+02, -8.758195e+01
4.620989784598e+02, -8.767588e+01
4.627612522907e+02, -8.810548e+01
