% Moku:Go Spectrum Analyzer
% Input A (on)
% Input B (off)
% Start freq 0 Hz, stop freq 1.000 kHz, RBW 4.888 Hz (Auto mode), Hann window, Video filter off
% Averaging: 2 spectra per frame, 15 frame averages
% 
% Acquired 2026-04-30 T 16:04:17 +0200
% Frequency (Hz), Input A (dBm)
-3.570069869359e-01, -1.820518e+01
6.364037593206e-01, -1.835203e+01
1.629814505577e+00, -1.956215e+01
2.623225251834e+00, -2.193285e+01
3.616635998090e+00, -2.569952e+01
4.610046744347e+00, -3.141626e+01
5.603457490603e+00, -4.085556e+01
6.596868236860e+00, -6.559856e+01
7.590278983116e+00, -4.966309e+01
8.583689729373e+00, -5.269254e+01
9.577100475629e+00, -6.654460e+01
1.057051122189e+01, -6.112276e+01
1.156392196814e+01, -6.058312e+01
1.255733271440e+01, -6.780288e+01
1.355074346066e+01, -6.751037e+01
1.454415420691e+01, -6.550379e+01
1.553756495317e+01, -6.885450e+01
1.653097569942e+01, -6.968326e+01
1.752438644568e+01, -6.762223e+01
1.851779719194e+01, -6.825202e+01
1.951120793819e+01, -7.032130e+01
2.050461868445e+01, -6.987667e+01
2.149802943071e+01, -6.933035e+01
2.249144017696e+01, -6.996538e+01
2.348485092322e+01, -7.014195e+01
2.447826166948e+01, -6.988266e+01
2.547167241573e+01, -6.961650e+01
2.646508316199e+01, -6.918082e+01
2.745849390825e+01, -6.870387e+01
2.845190465450e+01, -6.864406e+01
2.944531540076e+01, -6.904115e+01
3.043872614702e+01, -7.011654e+01
3.143213689327e+01, -7.027090e+01
3.242554763953e+01, -6.995763e+01
3.341895838579e+01, -6.957321e+01
3.441236913204e+01, -6.935646e+01
3.540577987830e+01, -6.954584e+01
3.639919062455e+01, -6.994310e+01
3.739260137081e+01, -7.021857e+01
3.838601211707e+01, -7.005838e+01
3.937942286332e+01, -6.952886e+01
4.037283360958e+01, -6.992878e+01
4.136624435584e+01, -6.822036e+01
4.235965510209e+01, -6.591853e+01
4.335306584835e+01, -6.875463e+01
4.434647659461e+01, -5.938606e+01
4.533988734086e+01, -4.883744e+01
4.633329808712e+01, -4.269207e+01
4.732670883338e+01, -3.865739e+01
4.832011957963e+01, -3.608089e+01
4.931353032589e+01, -3.469398e+01
5.030694107215e+01, -3.438199e+01
5.130035181840e+01, -3.512163e+01
5.229376256466e+01, -3.697138e+01
5.328717331092e+01, -4.009751e+01
5.428058405717e+01, -4.488669e+01
5.527399480343e+01, -5.238790e+01
5.626740554969e+01, -6.731809e+01
5.726081629594e+01, -6.523690e+01
5.825422704220e+01, -6.461299e+01
5.924763778845e+01, -6.772402e+01
6.024104853471e+01, -6.947562e+01
6.123445928097e+01, -6.939490e+01
